scenario,blocId,withdrawingPartyId,releasedShareBefore,undecidedBefore,undecidedAfter,undecidedDelta,predictedAbstentionProbability,predictedToUndecided,undecidedClampHit,sumLatentSupportAfter,anyNegative,anyNaN
explicit_endorsement,young_precarious,ecologistes,10.644,21.66,24.998,3.338,0.3136,3.338,false,100,false,false
explicit_endorsement,rural_working_class,ecologistes,8.452,17.34,19.991,2.651,0.3136,2.651,false,100,false,false
explicit_endorsement,urban_working_class,ecologistes,10.189,19.74,22.935,3.195,0.3136,3.195,false,100,false,false
explicit_endorsement,middle_class_workers,ecologistes,9.794,16.7,19.771,3.071,0.3136,3.071,false,100,false,false
explicit_endorsement,executives,ecologistes,10.64,14.46,17.797,3.337,0.3136,3.337,false,100,false,false
explicit_endorsement,entrepreneurs,ecologistes,8.036,15.9,18.42,2.52,0.3136,2.52,false,100,false,false
explicit_endorsement,public_services,ecologistes,11.52,15.42,19.033,3.613,0.3136,3.613,false,100,false,false
explicit_endorsement,moderate_retirees,ecologistes,8.643,12.54,15.251,2.711,0.3136,2.711,false,100,false,false
explicit_endorsement,conservative_retirees,ecologistes,7.545,11.9,14.266,2.366,0.3136,2.366,false,100,false,false
explicit_endorsement,green_progressives,ecologistes,14.488,17.02,21.564,4.544,0.3136,4.544,false,100,false,false
explicit_endorsement,mobilisable_abstainers,ecologistes,10,22.94,26.076,3.136,0.3136,3.136,false,100,false,false
allied_and_endorsed_and_positive_relation,young_urban_graduates,ecologistes,13.248,19.1,23.255,4.155,0.3136,4.155,false,100,false,false
allied_and_endorsed_and_positive_relation,young_precarious,ecologistes,10.65,21.66,25,3.34,0.3136,3.34,false,100,false,false
allied_and_endorsed_and_positive_relation,rural_working_class,ecologistes,8.439,17.34,19.987,2.647,0.3136,2.647,false,100,false,false
allied_and_endorsed_and_positive_relation,urban_working_class,ecologistes,10.193,19.74,22.937,3.197,0.3136,3.197,false,100,false,false
allied_and_endorsed_and_positive_relation,middle_class_workers,ecologistes,9.8,16.7,19.773,3.073,0.3136,3.073,false,100,false,false
allied_and_endorsed_and_positive_relation,executives,ecologistes,10.652,14.46,17.801,3.341,0.3136,3.341,false,100,false,false
allied_and_endorsed_and_positive_relation,entrepreneurs,ecologistes,8.033,15.9,18.419,2.519,0.3136,2.519,false,100,false,false
allied_and_endorsed_and_positive_relation,public_services,ecologistes,11.536,15.42,19.038,3.618,0.3136,3.618,false,100,false,false
allied_and_endorsed_and_positive_relation,moderate_retirees,ecologistes,8.642,12.54,15.25,2.71,0.3136,2.71,false,100,false,false
allied_and_endorsed_and_positive_relation,conservative_retirees,ecologistes,7.534,11.9,14.263,2.363,0.3136,2.363,false,100,false,false
allied_and_endorsed_and_positive_relation,green_progressives,ecologistes,14.516,17.02,21.572,4.552,0.3136,4.552,false,100,false,false
allied_and_endorsed_and_positive_relation,mobilisable_abstainers,ecologistes,10.001,22.94,26.076,3.136,0.3136,3.136,false,100,false,false
large_party_withdraws_reconquete,young_urban_graduates,reconquete,5.47,19.1,20.765,1.665,0.3044,1.665,false,100,false,false
large_party_withdraws_reconquete,young_precarious,reconquete,6.606,21.66,23.671,2.011,0.3044,2.011,false,100,false,false
large_party_withdraws_reconquete,rural_working_class,reconquete,8.456,17.34,19.914,2.574,0.3044,2.574,false,100,false,false
large_party_withdraws_reconquete,urban_working_class,reconquete,6.595,19.74,21.748,2.008,0.3044,2.008,false,100,false,false
large_party_withdraws_reconquete,middle_class_workers,reconquete,6.041,16.7,18.539,1.839,0.3044,1.839,false,100,false,false
large_party_withdraws_reconquete,executives,reconquete,5.81,14.46,16.229,1.769,0.3044,1.769,false,100,false,false
large_party_withdraws_reconquete,entrepreneurs,reconquete,7.567,15.9,18.204,2.304,0.3044,2.304,false,100,false,false
large_party_withdraws_reconquete,public_services,reconquete,5.459,15.42,17.082,1.662,0.3044,1.662,false,100,false,false
large_party_withdraws_reconquete,moderate_retirees,reconquete,6.175,12.54,14.42,1.88,0.3044,1.88,false,100,false,false
large_party_withdraws_reconquete,conservative_retirees,reconquete,9.018,11.9,14.645,2.745,0.3044,2.745,false,100,false,false
large_party_withdraws_reconquete,green_progressives,reconquete,5.303,17.02,18.634,1.614,0.3044,1.614,false,100,false,false
large_party_withdraws_reconquete,mobilisable_abstainers,reconquete,7.353,22.94,25.178,2.238,0.3044,2.238,false,100,false,false
large_party_withdraws_lr,young_urban_graduates,lr,8.88,19.1,21.409,2.309,0.26,2.309,false,100,false,false
large_party_withdraws_lr,young_precarious,lr,9.306,21.66,24.079,2.419,0.26,2.419,false,100,false,false
large_party_withdraws_lr,rural_working_class,lr,11.5,17.34,20.33,2.99,0.26,2.99,false,100,false,false
large_party_withdraws_lr,urban_working_class,lr,9.672,19.74,22.255,2.515,0.26,2.515,false,100,false,false
large_party_withdraws_lr,middle_class_workers,lr,11.094,16.7,19.584,2.884,0.26,2.884,false,100,false,false
large_party_withdraws_lr,executives,lr,10.949,14.46,17.307,2.847,0.26,2.847,false,100,false,false
large_party_withdraws_lr,entrepreneurs,lr,13.3,15.9,19.358,3.458,0.26,3.458,false,100,false,false
large_party_withdraws_lr,public_services,lr,9.337,15.42,17.847,2.427,0.26,2.427,false,100,false,false
large_party_withdraws_lr,moderate_retirees,lr,12.628,12.54,15.823,3.283,0.26,3.283,false,100,false,false
large_party_withdraws_lr,conservative_retirees,lr,14.279,11.9,15.612,3.712,0.26,3.712,false,100,false,false
large_party_withdraws_lr,green_progressives,lr,8.651,17.02,19.269,2.249,0.26,2.249,false,100,false,false
large_party_withdraws_lr,mobilisable_abstainers,lr,10.004,22.94,25.541,2.601,0.26,2.601,false,100,false,false
