eventId,choiceId,choiceTag,n,avgFinalScore,avgQualified,avgWon
program_family_reunification,family_reunification_extend_delay,CLIVANT,653,75.04,0.671,0.536
media_short_video,short_video_refuse_reduction,PRÉSIDENTIEL,167,74.81,0.623,0.515
program_integration_contract,integration_contract_more_support,PRUDENT,318,77.05,0.723,0.591
party_lfi_fronde,lfi_fronde_refuse,OFFENSIF,62,62.98,0.532,0.452
program_europe,europe_federal_budget,CLIVANT,417,74.28,0.664,0.544
world_rival_leadership_tension,rival_leadership_tension_silent,PRUDENT,123,85.93,0.911,0.789
eliminated_no_instruction,no_instruction_silence,PRUDENT,126,45.13,0.016,0.008
program_border_control,border_control_european_cooperation,RASSEMBLEUR,347,71.97,0.628,0.49
program_family_reunification,family_reunification_resource_condition,TECHNIQUE,67,84.84,0.896,0.791
media_front_page,front_page_balance,RASSEMBLEUR,1116,82.86,0.815,0.694
internal_headquarters_move,headquarters_move,POPULAIRE,825,84.05,0.842,0.704
campaign_slogan_test,slogan_choose_break,CLIVANT,651,77.92,0.743,0.616
internal_financial_review,financial_review_ignore,LOYAL,505,80.36,0.788,0.644
internal_spokesperson_mistake,spokesperson_remove,OFFENSIF,222,76.42,0.68,0.545
world_economic_slowdown,slowdown_investment,POPULAIRE,400,75.86,0.68,0.56
party_lfi_alliance,lfi_alliance_refuse_green,LOYAL,103,78.78,0.913,0.631
scandal_audit_conclusion,audit_conclusion_vindication,OFFENSIF,256,72.97,0.664,0.508
party_lfi_identity,lfi_identity_dual,INSTITUTIONNEL,38,89.53,1,0.789
campaign_door_to_door,doors_single_measure,OFFENSIF,135,85.2,0.948,0.719
world_public_service_outage,outage_resilience_audit,TECHNIQUE,478,84.21,0.826,0.73
internal_congress_motion,congress_policy_forum,RASSEMBLEUR,199,87.14,0.905,0.794
debate_challenge_frontrunner,challenge_frontrunner_neutral_format,RASSEMBLEUR,241,88.49,0.909,0.809
alliance_poach_rival_cadre,poach_rival_cadre_decline,RASSEMBLEUR,360,85.31,0.881,0.742
runoff_final_debate,final_debate_admit_compromises,TRANSPARENT,1001,90.57,0.987,0.89
runoff_vote_transfers,vote_transfers_guarantee,RASSEMBLEUR,872,88.96,0.987,0.849
runoff_last_hours,last_hours_address,PRÉSIDENTIEL,1098,88.75,0.982,0.837
runoff_endorsement_wave,endorsement_wave_stage,RASSEMBLEUR,410,81.67,0.971,0.685
campaign_volunteer_surge,volunteers_weekend_canvass,RISQUÉ,297,85.43,0.875,0.744
program_digital_rights,digital_rights_age_verification,CLIVANT,698,74.07,0.656,0.523
internal_headquarters_move,headquarters_renegotiate,TECHNIQUE,204,83.7,0.887,0.696
campaign_slogan_test,slogan_drop_both,PRUDENT,283,58.43,0.343,0.276
party_lfi_program_dilemma,lfi_program_list,TRANSPARENT,69,89.36,1,0.841
program_europe,europe_investment_rule,RASSEMBLEUR,253,87.68,0.897,0.798
media_short_video,short_video_emergency_housing,POPULAIRE,277,68.84,0.614,0.451
program_labor_immigration,labor_immigration_shortage_list,OPPORTUNISTE,182,64.22,0.495,0.374
campaign_peripheral_town,periphery_transport_contract,TECHNIQUE,19,72.21,0.526,0.474
scandal_false_resume,false_resume_keep,LOYAL,421,77.77,0.751,0.582
program_taxation,taxation_wealth,CLIVANT,473,73.18,0.647,0.503
