eventId,choiceId,choiceTag,n,avgFinalScore,avgQualified,avgWon
internal_program_committee,program_committee_candidate,PRÉSIDENTIEL,365,76.42,0.674,0.548
media_short_video,short_video_building_targets,TECHNIQUE,214,77.07,0.706,0.603
internal_strategy_leak,strategy_leak_blame_consultant,CLIVANT,204,68.9,0.569,0.417
scandal_campaign_data,campaign_data_suspend_tools,OFFENSIF,295,80.7,0.769,0.671
media_fictional_editorial_support,editorial_support_reject,CLIVANT,301,84.28,0.847,0.731
internal_nomination_rules,nomination_vote,RASSEMBLEUR,434,84.33,0.857,0.719
alliance_fictional_celebrity,celebrity_support_housing_forum,POPULAIRE,505,72.53,0.63,0.509
campaign_citizens_convention,convention_program_vote,INSTITUTIONNEL,77,76.56,0.753,0.584
debate_all_candidates,all_candidates_carbon_contract,TECHNIQUE,353,81.31,0.779,0.669
world_european_vote,european_vote_small_group,OFFENSIF,75,74.24,0.64,0.507
campaign_regional_rally,regional_toulouse_climate,TECHNIQUE,369,81.15,0.805,0.71
program_immigration,immigration_annual_quota,CLIVANT,561,76.13,0.693,0.561
program_taxation,taxation_vat,RISQUÉ,194,83.89,0.835,0.727
rare_fragmented_congress,fragmented_congress_contract,RASSEMBLEUR,73,83.33,0.836,0.658
rare_congress_partners_respond,congress_partners_pick_one,RASSEMBLEUR,31,89.39,0.968,0.839
alliance_mayors_appeal,mayors_pilot,TECHNIQUE,172,86.38,0.855,0.738
campaign_non_aggression_overture,non_aggression_conditional,TECHNIQUE,30,71.37,0.533,0.4
alliance_fictional_celebrity,celebrity_support_decline,PRUDENT,477,84.87,0.864,0.742
debate_security_round,security_round_liberties,TRANSPARENT,22,76,0.727,0.636
program_climate_adaptation,climate_insurance,CLIVANT,392,79.93,0.758,0.638
alliance_left_roundtable,left_roundtable_public_only,TRANSPARENT,38,92.55,1,0.974
internal_rival_interview,rival_interview_remove_role,CLIVANT,500,70.43,0.572,0.45
internal_volunteer_conflict,volunteer_conflict_split_day,RASSEMBLEUR,321,84.99,0.857,0.72
internal_staff_fatigue,staff_fatigue_hire,TECHNIQUE,130,86.11,0.854,0.738
campaign_student_forum,students_selection_debate,PRUDENT,129,72.97,0.597,0.527
campaign_student_forum,students_grants_index,TRANSPARENT,263,81.03,0.798,0.639
media_prime_time_invite,prime_time_decline_prepare,PRUDENT,478,86.05,0.885,0.757
program_pensions,pensions_points_choice,INSTITUTIONNEL,53,82.04,0.792,0.642
program_taxation,taxation_niches,TECHNIQUE,177,80.64,0.785,0.661
program_immigration,immigration_work_regularization,POPULAIRE,147,64.9,0.49,0.415
campaign_hospital_night,hospital_bed_dashboard,TRANSPARENT,203,69.05,0.547,0.404
world_heatwave,heatwave_cancel_campaign,PRUDENT,131,82.13,0.802,0.656
debate_post_show_spin,post_show_balanced,TRANSPARENT,504,88.11,0.911,0.813
media_fact_check_followup,fact_check_attack_method,OFFENSIF,118,77.39,0.737,0.568
rare_crown_petition,crown_petition_joke,POPULAIRE,20,80.9,0.8,0.55
media_economic_morning,economic_morning_range,TRANSPARENT,84,77.27,0.75,0.524
world_international_crisis,international_national_independence,LOYAL,312,84.71,0.869,0.763
alliance_fictional_celebrity,celebrity_support_speech,TRANSPARENT,202,84.09,0.886,0.723
program_institutions,institutions_referendum,RASSEMBLEUR,38,82,0.789,0.658
eliminated_personal_future,personal_future_resign,TRANSPARENT,47,62.72,0.191,0.17
campaign_union_meeting,union_wage_conference,RASSEMBLEUR,35,86.69,0.886,0.743
internal_congress_motion,congress_refuse,OFFENSIF,475,67.78,0.507,0.408
debate_economy_round,economy_round_counter_project,OFFENSIF,215,78.22,0.74,0.591
media_fact_check_followup,fact_check_correct_error,PRUDENT,28,84.04,0.857,0.75
campaign_hospital_night,hospital_night_staff,TECHNIQUE,225,82.17,0.782,0.698
rare_exceptional_powers,exceptional_powers_guardrails,INSTITUTIONNEL,102,83.25,0.784,0.716
internal_strategy_leak,strategy_leak_publish,TRANSPARENT,226,86.68,0.872,0.783
scandal_supplier_overbilling,supplier_overbilling_credit,PRUDENT,589,83.84,0.829,0.725
debate_unknown_question,unknown_question_local_audit,INSTITUTIONNEL,292,85.79,0.866,0.764
scandal_audit_conclusion,audit_conclusion_all,TRANSPARENT,250,83.7,0.84,0.72
campaign_hospital_night,hospital_silent_report,PRUDENT,118,84.81,0.856,0.737
rare_parrot_quote,parrot_return_policy,PRUDENT,34,66.71,0.5,0.412
media_economic_morning,economic_morning_defer,TECHNIQUE,130,83.61,0.831,0.708
campaign_final_rally,final_rally_contract,PRÉSIDENTIEL,145,82.37,0.779,0.676
rare_crown_petition,crown_petition_republic,INSTITUTIONNEL,33,91.79,1,0.848
debate_economy_round,economy_round_drop_measure,TRANSPARENT,131,83.63,0.794,0.74
rare_civil_suspension,civil_suspension_rest,PRUDENT,52,87.87,0.923,0.846
rare_powers_guardrails_tested,powers_guardrails_detail,TRANSPARENT,22,79.09,0.636,0.591
world_rival_leadership_split,rival_leadership_split_welcome,OPPORTUNISTE,93,72.16,0.656,0.548
eliminated_no_instruction,no_instruction_criteria,INSTITUTIONNEL,72,60.53,0.097,0.042
rare_parrot_quote,parrot_campaign_clip,POPULAIRE,51,78.29,0.686,0.51
debate_frontrunner_retaliation,frontrunner_retaliation_deride,RISQUÉ,220,76.9,0.682,0.568
campaign_final_rally,final_rally_new_pledge,RISQUÉ,155,70.87,0.581,0.465
rare_civil_suspension,civil_suspension_whisper,RISQUÉ,64,77.09,0.75,0.594
internal_nomination_rules,nomination_dual_leadership,INSTITUTIONNEL,182,85.85,0.863,0.797
rare_printer_slogan,printer_slogan_limited_edition,POPULAIRE,75,75.71,0.627,0.52
rare_fragmented_congress,fragmented_congress_issue_majorities,TECHNIQUE,28,88.71,0.929,0.857
rare_congress_partners_respond,congress_partners_keep_both,OPPORTUNISTE,23,84.22,0.913,0.652
eliminated_personal_future,personal_future_congress,INSTITUTIONNEL,212,50.55,0.042,0.033
rare_national_union,national_union_join,PRÉSIDENTIEL,24,76,0.667,0.583
world_rival_leadership_split,rival_leadership_split_neutral,PRUDENT,126,75.93,0.738,0.524
debate_security_round,security_round_local_plan,INSTITUTIONNEL,36,85.33,0.833,0.806
debate_fact_card,fact_card_attack,OFFENSIF,46,71.15,0.565,0.37
rare_crown_petition,crown_petition_constitution_convention,RASSEMBLEUR,27,69.37,0.593,0.37
alliance_union_support,union_support_guarantee,INSTITUTIONNEL,31,81.48,0.806,0.645
rare_hologram_revolt,hologram_send_local,RASSEMBLEUR,31,85.77,0.871,0.71
rare_debate_blackout,blackout_talk_opponent,OPPORTUNISTE,30,64.93,0.5,0.367
debate_economy_round,economy_round_values,POPULAIRE,166,74.11,0.639,0.518
rare_powers_abolition_tested,powers_abolition_hold,CLIVANT,29,73.83,0.69,0.483
eliminated_no_instruction,no_instruction_block,CLIVANT,131,54.45,0.069,0.046
eliminated_endorse_candidate,endorse_candidate_contract,OPPORTUNISTE,210,49.54,0.029,0.029
eliminated_personal_future,personal_future_stay,LOYAL,63,51.14,0.016,0.016
eliminated_future_campaign,future_campaign_legislative,OFFENSIF,104,59.63,0.212,0.154
debate_security_round,security_round_police_posts,POPULAIRE,23,69.74,0.522,0.478
eliminated_future_campaign,future_campaign_fusion,OPPORTUNISTE,121,45.7,0.025,0.008
campaign_donation_drive,donations_tour_cut,PRUDENT,176,59.36,0.369,0.273
rare_congress_isolation,congress_isolation_reach_out,OPPORTUNISTE,21,64.86,0.619,0.429
party_ps_electorate,ps_electorate_wage_conference,RASSEMBLEUR,134,94.04,0.985,0.94
party_ps_signature,ps_signature_contribution,CLIVANT,167,89.97,0.916,0.82
media_documentary_access,documentary_refuse_publish,TRANSPARENT,68,92.31,0.985,0.941
media_foreign_interview,foreign_interview_coalition,RASSEMBLEUR,104,80.58,0.75,0.615
party_ps_runoff,ps_runoff_left_contract,RASSEMBLEUR,215,92.74,1,0.879
party_ps_local_asset,ps_local_public_services_tour,POPULAIRE,167,86.74,0.862,0.778
party_ps_identity,ps_identity_social_democrat,PRÉSIDENTIEL,102,94.38,0.98,0.922
media_long_podcast,podcast_topics_only,PRUDENT,206,78.28,0.728,0.621
media_documentary_access,documentary_rules,PRUDENT,110,89.23,1,0.9
media_past_words,past_words_restore_first,LOYAL,33,88.09,1,0.818
party_ps_alliance,ps_alliance_decline,CLIVANT,144,85.24,0.833,0.743
party_ps_program_dilemma,ps_program_future_only,OFFENSIF,132,93.61,0.985,0.932
party_ps_runoff,ps_runoff_no_deal,LOYAL,118,95.2,1,0.958
party_ps_alliance,ps_alliance_accept,RASSEMBLEUR,88,92.65,0.966,0.886
party_ps_identity,ps_identity_break,CLIVANT,68,87.66,0.897,0.794
party_ps_program_dilemma,ps_program_public_inventory,TRANSPARENT,55,82.71,0.764,0.673
party_ps_fronde,ps_fronde_negotiate,RASSEMBLEUR,79,94.85,0.987,0.949
party_ps_electorate,ps_electorate_staffing_priority,TECHNIQUE,92,84.46,0.826,0.728
party_ps_runoff,ps_runoff_presidential_platform,PRÉSIDENTIEL,35,86.4,1,0.771
party_ps_identity,ps_identity_members_vote,RASSEMBLEUR,64,82.64,0.781,0.688
party_ps_fronde,ps_fronde_internal_vote,OFFENSIF,60,82.92,0.817,0.65
party_ps_crisis_followup,ps_crisis_candidate_arbitration,PRÉSIDENTIEL,45,82.02,0.8,0.644
party_ps_alliance,ps_alliance_policy_only,PRUDENT,48,93.52,1,0.958
alliance_former_rival,former_rival_joint_tour,LOYAL,32,93.19,0.969,0.906
media_past_words,past_words_attack_edit,OFFENSIF,141,72.56,0.624,0.553
party_ps_local_asset,ps_local_material_only,PRUDENT,72,95.39,1,0.972
party_ps_rare,ps_rare_join_primary,RISQUÉ,15,85.6,0.867,0.533
media_long_podcast,podcast_send_policy_lead,TECHNIQUE,105,89.78,0.971,0.914
alliance_former_rival,former_rival_industry_role,RASSEMBLEUR,54,92.93,0.981,0.907
campaign_attacked_by_rival_pole,attacked_by_lfi_ignore,PRUDENT,281,72.73,0.63,0.523
party_ps_signature,ps_signature_training,TECHNIQUE,22,89.45,0.909,0.818
alliance_former_rival,former_rival_no_role,PRUDENT,39,77.03,0.615,0.538
party_ps_crisis_followup,ps_crisis_members_ballot,TRANSPARENT,47,96.43,1,0.957
media_documentary_access,documentary_full_access,RISQUÉ,185,73.99,0.659,0.595
media_long_podcast,podcast_full_access,RISQUÉ,357,88.12,0.913,0.832
campaign_attacked_by_rival_pole,attacked_by_lfi_detailed_reply,TECHNIQUE,159,87.79,0.887,0.799
media_past_words,past_words_timeline,TRANSPARENT,48,89.9,1,0.938
campaign_attacked_by_rival_pole,attacked_by_lfi_counter_attack,OFFENSIF,498,80.15,0.767,0.635
media_foreign_interview,foreign_interview_veto,OFFENSIF,123,73.84,0.618,0.52
rare_civil_suspension,civil_suspension_written,TECHNIQUE,24,76.79,0.75,0.583
party_ecologistes_electorate,ecologistes_electorate_rent_protection,POPULAIRE,155,80.07,0.723,0.626
party_ecologistes_signature,ecologistes_signature_local_grants,INSTITUTIONNEL,131,82.53,0.786,0.679
party_ecologistes_runoff,ecologistes_runoff_climate_coalition,RASSEMBLEUR,129,90.29,1,0.961
party_ecologistes_local_asset,ecologistes_local_rail_announcement,OFFENSIF,167,83.4,0.784,0.701
party_ecologistes_identity,ecologistes_identity_shared_mandate,INSTITUTIONNEL,47,92.4,0.957,0.915
eliminated_endorse_candidate,endorse_candidate_members,RASSEMBLEUR,35,59.26,0.171,0.114
party_ecologistes_electorate,ecologistes_electorate_guaranteed_loan,TECHNIQUE,58,78.05,0.69,0.638
party_ecologistes_alliance,ecologistes_alliance_national_guarantees,CLIVANT,39,58,0.282,0.231
party_ecologistes_program_dilemma,ecologistes_program_industry_only,PRUDENT,72,80.29,0.792,0.681
party_ecologistes_alliance,ecologistes_alliance_metro,RASSEMBLEUR,42,86.26,0.905,0.833
party_ecologistes_identity,ecologistes_identity_regions,RASSEMBLEUR,110,87.69,0.927,0.855
world_energy_price_spike,energy_spike_targeted_aid,PRUDENT,228,89.45,0.974,0.86
party_ecologistes_signature,ecologistes_signature_public_operator,TECHNIQUE,87,83.52,0.816,0.77
campaign_rural_desert,rural_mobile_team,TECHNIQUE,57,90.93,0.982,0.93
party_ecologistes_local_asset,ecologistes_local_rural_week,POPULAIRE,36,59.67,0.306,0.278
party_ecologistes_fronde,ecologistes_fronde_no_deadline,PRUDENT,53,81.62,0.736,0.679
party_ecologistes_crisis_followup,ecologistes_crisis_candidate_line,PRÉSIDENTIEL,62,75.69,0.645,0.516
campaign_rural_desert,rural_training_contract,POPULAIRE,76,81.99,0.776,0.75
party_ecologistes_identity,ecologistes_identity_candidate,PRÉSIDENTIEL,116,70.26,0.517,0.422
party_ecologistes_runoff,ecologistes_runoff_solo,LOYAL,83,93.22,1,0.964
eliminated_endorse_candidate,endorse_candidate_unconditional,LOYAL,55,62.02,0.182,0.127
party_ecologistes_alliance,ecologistes_alliance_autonomy,CLIVANT,171,85.31,0.842,0.784
party_ecologistes_program_dilemma,ecologistes_program_dividend,RASSEMBLEUR,102,85.13,0.824,0.716
world_energy_price_spike,energy_spike_price_cap,POPULAIRE,299,77.46,0.796,0.609
world_energy_price_spike,energy_spike_european_purchase,RASSEMBLEUR,223,83.79,0.906,0.749
campaign_rural_desert,rural_installation_rule,CLIVANT,125,83.28,0.832,0.736
party_ecologistes_fronde,ecologistes_fronde_exit_calendar,TECHNIQUE,99,82.19,0.788,0.687
party_ecologistes_crisis_followup,ecologistes_crisis_publish_scenarios,TRANSPARENT,50,91.56,0.98,0.96
eliminated_future_campaign,future_campaign_audit,TRANSPARENT,97,63.4,0.247,0.196
party_renaissance_electorate,renaissance_electorate_work_credit,POPULAIRE,137,80.25,0.912,0.774
party_renaissance_signature,renaissance_signature_european_fund,TECHNIQUE,117,84.35,0.974,0.863
party_renaissance_fronde,renaissance_fronde_shared_speech,RASSEMBLEUR,110,85.15,0.982,0.909
party_renaissance_local_asset,renaissance_local_national_kit,PRUDENT,103,69.47,0.68,0.631
campaign_small_business,sme_publish_both,TRANSPARENT,111,77.28,0.739,0.64
internal_major_donor,major_donor_written_input,PRUDENT,87,89.01,1,0.897
party_renaissance_program_dilemma,renaissance_program_social_conference,PRUDENT,64,69.77,0.703,0.641
party_renaissance_legacy_test,renaissance_legacy_pivot_future,OPPORTUNISTE,53,68.3,0.66,0.585
party_renaissance_defend_center,defend_center_absorb,OPPORTUNISTE,63,69,0.714,0.524
party_renaissance_alliance,renaissance_alliance_refuse,CLIVANT,134,71.9,0.754,0.664
party_renaissance_runoff,renaissance_runoff_democratic_contract,RASSEMBLEUR,165,84.7,1,0.952
party_renaissance_identity,renaissance_identity_record,TRANSPARENT,34,85.21,1,0.941
party_renaissance_identity,renaissance_identity_coalition,RASSEMBLEUR,81,70.67,0.741,0.605
party_renaissance_signature,renaissance_signature_fast_track,OFFENSIF,55,64.38,0.6,0.455
party_renaissance_program_dilemma,renaissance_program_long_careers,TECHNIQUE,144,81.85,0.931,0.792
party_renaissance_legacy_test,renaissance_legacy_defend_all,PRÉSIDENTIEL,53,80.04,0.943,0.698
internal_major_donor,major_donor_private,RISQUÉ,300,78.7,0.82,0.663
party_renaissance_alliance,renaissance_alliance_full,RASSEMBLEUR,65,80.88,0.923,0.8
party_renaissance_network_or_autonomy,renaissance_network_build_autonomous,RISQUÉ,42,77.24,0.857,0.714
party_renaissance_local_asset,renaissance_local_constituency_contracts,INSTITUTIONNEL,114,83.92,0.965,0.886
party_renaissance_fronde,renaissance_fronde_remove,OFFENSIF,84,63.75,0.595,0.452
internal_major_donor,major_donor_public_roundtable,TRANSPARENT,135,83.2,0.881,0.748
party_renaissance_crisis_followup,renaissance_crisis_record_committee,RASSEMBLEUR,35,84.37,0.943,0.857
world_budget_warning,budget_warning_ignore,OFFENSIF,106,74.32,0.698,0.557
party_renaissance_alliance,renaissance_alliance_second_round,PRUDENT,45,83.64,0.978,0.933
world_budget_warning,budget_warning_growth,TECHNIQUE,45,81.71,0.822,0.711
party_renaissance_crisis_followup,renaissance_crisis_confidence_vote,RISQUÉ,92,73.16,0.793,0.641
party_renaissance_electorate,renaissance_electorate_public_services,RASSEMBLEUR,53,68.49,0.679,0.566
campaign_small_business,sme_independent_test,PRUDENT,100,86.69,0.92,0.82
party_renaissance_defend_center,defend_center_ignore,PRÉSIDENTIEL,26,77.58,0.962,0.731
world_budget_warning,budget_warning_recost,TRANSPARENT,121,89.14,0.975,0.876
party_renaissance_runoff,renaissance_runoff_no_bargain,PRÉSIDENTIEL,41,77.88,1,0.829
party_renaissance_identity,renaissance_identity_new_cycle,PRÉSIDENTIEL,75,84.12,0.973,0.88
party_renaissance_legacy_test,renaissance_legacy_own_gaps,TRANSPARENT,20,80.4,1,0.65
party_renaissance_defend_center,defend_center_differentiate,CLIVANT,59,74.63,0.814,0.661
campaign_small_business,sme_defend_macro,OFFENSIF,167,85.73,0.892,0.802
party_renaissance_legacy_confronted,legacy_confronted_hold,CLIVANT,19,80.11,0.947,0.789
party_horizons_electorate,horizons_electorate_doctor_contracts,TECHNIQUE,137,88.22,0.898,0.825
party_horizons_signature,horizons_signature_experimentation,RISQUÉ,91,81.63,0.78,0.736
party_horizons_local_asset,horizons_local_workshops,PRUDENT,98,93.47,0.99,0.949
alliance_center_pact,center_pact_reject,LOYAL,98,89.08,0.908,0.888
campaign_farmers_roundtable,farmers_norm_pause,PRUDENT,165,82.48,0.818,0.709
party_horizons_runoff,horizons_runoff_government_contract,PRÉSIDENTIEL,111,91.96,1,0.91
party_horizons_founder_challenge,horizons_founder_break_free,RISQUÉ,90,85.82,0.856,0.778
party_horizons_fronde,horizons_fronde_negotiate_deadline,PRUDENT,88,93.56,0.989,0.955
party_horizons_crisis_followup,horizons_crisis_close_talks,PRÉSIDENTIEL,37,86.38,0.865,0.811
party_horizons_runoff_rupture,horizons_runoff_rupture_lean_on_new_ally,RASSEMBLEUR,17,88.18,1,0.824
party_horizons_identity,horizons_identity_presidential,PRÉSIDENTIEL,48,75.67,0.667,0.542
party_horizons_electorate,horizons_electorate_health_houses,RASSEMBLEUR,45,90.8,0.956,0.933
party_horizons_fronde,horizons_fronde_remove_negotiators,OFFENSIF,43,73.23,0.628,0.535
party_horizons_crisis_followup,horizons_crisis_members_vote,TRANSPARENT,49,87.96,0.898,0.857
party_horizons_runoff,horizons_runoff_coalition_council,RASSEMBLEUR,142,91.49,1,0.951
party_horizons_program_dilemma,horizons_program_single_rule,CLIVANT,69,77.78,0.725,0.594
party_horizons_identity,horizons_identity_dual_agenda,RASSEMBLEUR,113,92.86,0.991,0.929
party_horizons_technocrat_backlash,horizons_backlash_ignore,TECHNIQUE,43,92.14,0.977,0.953
party_horizons_passion_test,horizons_passion_answer_competence,PRÉSIDENTIEL,38,93.42,1,0.974
party_horizons_alliance,horizons_alliance_presidential_condition,RISQUÉ,68,78.99,0.721,0.603
party_horizons_center_poaching,horizons_poach_joint_ticket,RASSEMBLEUR,20,70,0.5,0.45
party_horizons_signature,horizons_signature_block_grant,INSTITUTIONNEL,123,90.06,0.927,0.87
party_horizons_runoff_rupture,horizons_runoff_rupture_go_alone,OFFENSIF,55,92.07,1,0.927
party_horizons_local_asset,horizons_local_national_stage,OFFENSIF,88,80.57,0.75,0.648
party_horizons_alliance,horizons_alliance_central_priority,PRÉSIDENTIEL,71,91.39,0.944,0.915
alliance_center_pact,center_pact_sign,PRÉSIDENTIEL,55,77.95,0.655,0.582
party_horizons_technocrat_backlash,horizons_backlash_self_deprecate,POPULAIRE,44,78.27,0.705,0.591
party_horizons_program_dilemma,horizons_program_green_investment,TECHNIQUE,144,92.83,0.972,0.944
party_horizons_founder_challenge,horizons_founder_defer,PRUDENT,43,92.47,0.977,0.884
campaign_farmers_roundtable,farmers_floor_price,POPULAIRE,255,75.9,0.722,0.576
party_horizons_founder_challenge,horizons_founder_role_split,INSTITUTIONNEL,24,92.88,0.958,0.917
party_horizons_technocrat_backlash,horizons_backlash_passionate_speech,RISQUÉ,52,95.29,1,1
party_horizons_rupture_old_guard_distances,horizons_rupture_claim_it,CLIVANT,17,90.76,0.941,0.941
alliance_center_pact,center_pact_runoff_only,PRUDENT,30,91.77,1,0.9
campaign_farmers_roundtable,farmers_water_contracts,TECHNIQUE,87,81.72,0.77,0.678
party_horizons_runoff_coalition,horizons_runoff_coalition_personal_lead,PRÉSIDENTIEL,16,93.56,1,0.938
party_horizons_center_poaching,horizons_poach_wait,PRUDENT,30,94.2,1,1
alliance_strategic_withdrawal,strategic_withdrawal_refuse,LOYAL,48,93.35,1,0.958
party_horizons_center_poaching,horizons_poach_direct_offer,OFFENSIF,66,87.89,0.894,0.833
party_horizons_alliance,horizons_alliance_local_pact,RASSEMBLEUR,25,91.96,1,0.96
alliance_strategic_withdrawal,strategic_withdrawal_accept,OPPORTUNISTE,85,78.22,0.659,0.588
party_horizons_founder_revenge,horizons_revenge_face_it,CLIVANT,61,87.31,0.885,0.82
party_horizons_runoff_continuity,horizons_runoff_continuity_formalize,RASSEMBLEUR,32,93.16,1,0.938
party_horizons_founder_blessing,horizons_blessing_amplify,PRUDENT,28,93.61,1,0.929
party_lr_electorate,lr_electorate_dependency_insurance,RASSEMBLEUR,170,84.83,0.9,0.741
party_lr_signature,lr_signature_local_contracts,TECHNIQUE,133,87.99,0.955,0.827
party_lr_identity,lr_identity_government_right,PRÉSIDENTIEL,110,89.49,0.982,0.873
party_lr_runoff,lr_runoff_government_right,PRÉSIDENTIEL,159,87.81,1,0.83
party_lr_local_asset,lr_local_national_battlegrounds,TECHNIQUE,85,84.36,0.906,0.741
party_lr_program_dilemma,lr_program_spending_ceiling,CLIVANT,58,70.12,0.621,0.466
party_lr_identity,lr_identity_right_competition,CLIVANT,109,72.47,0.651,0.477
party_lr_electorate,lr_electorate_savings_exemption,TECHNIQUE,64,77.38,0.75,0.578
party_lr_alliance,lr_alliance_horizons_platform,RASSEMBLEUR,44,77.07,0.75,0.636
party_lr_program_dilemma,lr_program_agency_review,PRUDENT,149,84.58,0.886,0.752
party_lr_alliance,lr_alliance_policy_without_border,PRUDENT,72,86.67,0.944,0.847
alliance_right_convention,right_convention_debate,TRANSPARENT,94,74.45,0.585,0.5
party_lr_alliance,lr_alliance_refuse_center,CLIVANT,132,77.52,0.773,0.629
party_lr_fronde,lr_fronde_close_negotiations,OFFENSIF,45,63.6,0.4,0.356
party_lr_crisis_followup,lr_crisis_local_freedom,PRUDENT,62,70.32,0.581,0.435
party_lr_identity,lr_identity_center_coalition,RASSEMBLEUR,42,79.52,0.857,0.738
party_lr_signature,lr_signature_visible_patrols,OFFENSIF,92,73.04,0.717,0.5
party_lr_local_asset,lr_local_federation_targets,RASSEMBLEUR,115,78.97,0.765,0.609
party_lr_fronde,lr_fronde_policy_meeting,TRANSPARENT,117,86.84,0.932,0.795
party_lr_crisis_followup,lr_crisis_members_referendum,TRANSPARENT,55,91.84,1,0.909
party_lr_runoff,lr_runoff_program_only,PRÉSIDENTIEL,74,89.81,1,0.824
alliance_right_convention,right_convention_attend,OPPORTUNISTE,173,68.34,0.468,0.393
alliance_right_convention,right_convention_refuse,CLIVANT,50,78.08,0.64,0.58
party_rn_electorate,rn_electorate_rural_mobility,POPULAIRE,135,86.02,0.985,0.785
party_rn_alliance,rn_alliance_absorb_voters,OFFENSIF,103,71.89,0.835,0.476
party_rn_signature,rn_signature_consumption_rebate,TECHNIQUE,73,70.47,0.836,0.411
party_rn_local_asset,rn_local_services_tour,POPULAIRE,100,87.93,0.98,0.88
party_rn_runoff,rn_runoff_government_guarantees,PRÉSIDENTIEL,261,86.98,1,0.808
party_rn_alliance,rn_alliance_full_right_pact,CLIVANT,46,81.61,0.957,0.587
party_rn_electorate,rn_electorate_energy_bill,TECHNIQUE,112,76.04,0.902,0.571
party_rn_identity,rn_identity_core_themes,CLIVANT,119,74.41,0.891,0.496
party_rn_runoff,rn_runoff_people_against_system,OFFENSIF,175,78.09,1,0.543
party_rn_program_dilemma,rn_program_constitutional_referendum,CLIVANT,165,79.35,0.921,0.57
party_rn_fronde,rn_fronde_remove_ferran,PRÉSIDENTIEL,32,58.75,0.594,0.313
party_rn_crisis_followup,rn_crisis_program_council,INSTITUTIONNEL,70,84.41,0.986,0.643
party_rn_program_dilemma,rn_program_residency_condition,TECHNIQUE,82,78.28,0.841,0.683
party_rn_alliance,rn_alliance_non_aggression,PRUDENT,102,88.13,1,0.873
party_rn_signature,rn_signature_food_energy,POPULAIRE,149,85.11,0.98,0.725
party_rn_identity,rn_identity_government_team,PRÉSIDENTIEL,97,88.56,1,0.918
party_rn_fronde,rn_fronde_regional_mandate,PRUDENT,141,83.49,0.979,0.667
party_rn_local_asset,rn_local_security_rally,OFFENSIF,110,75.13,0.882,0.591
party_rn_crisis_followup,rn_crisis_signed_line,OFFENSIF,49,73.98,0.878,0.531
alliance_udr_autonomy,ally_autonomy_accept,RASSEMBLEUR,63,86.71,1,0.857
alliance_udr_autonomy,ally_autonomy_refuse,OFFENSIF,50,73.36,0.9,0.46
party_rn_dissidence,rn_dissidence_compete,OFFENSIF,17,68.06,0.824,0.353
party_reconquete_electorate,reconquete_electorate_first_hire,POPULAIRE,177,55.88,0.119,0.034
party_reconquete_signature,reconquete_signature_constitutional_bill,INSTITUTIONNEL,181,56.97,0.133,0.066
party_reconquete_identity,reconquete_identity_qualification,PRÉSIDENTIEL,45,41.49,0.022,0.022
party_reconquete_alliance,reconquete_alliance_full_autonomy,OFFENSIF,127,51.94,0.11,0.055
party_reconquete_local_asset,reconquete_local_training,TECHNIQUE,74,48.35,0.068,0.041
party_reconquete_signature,reconquete_signature_consultative_vote,PRUDENT,80,48.58,0.037,0.013
party_reconquete_alliance,reconquete_alliance_program_demand,CLIVANT,37,44.81,0,0
party_reconquete_electorate,reconquete_electorate_norms_moratorium,OFFENSIF,76,41.18,0,0
party_reconquete_fronde,reconquete_fronde_joint_convention,RASSEMBLEUR,94,63.96,0.277,0.138
party_reconquete_program_dilemma,reconquete_program_national_preference,CLIVANT,157,52.84,0.089,0.038
party_reconquete_program_dilemma,reconquete_program_public_procurement,TECHNIQUE,73,59.34,0.137,0.055
party_reconquete_alliance,reconquete_alliance_legislative_pact,PRUDENT,66,60.14,0.091,0.061
party_reconquete_local_asset,reconquete_local_mobile_studios,OFFENSIF,149,55.34,0.094,0.034
party_reconquete_identity,reconquete_identity_influence,CLIVANT,179,58.02,0.151,0.056
party_reconquete_identity,reconquete_identity_dual_target,TECHNIQUE,36,49.81,0,0
party_reconquete_fronde,reconquete_fronde_close_channels,OFFENSIF,68,44.88,0,0
party_reconquete_crisis_followup,reconquete_crisis_online_ballot,TRANSPARENT,48,55.21,0.208,0.104
party_reconquete_crisis_followup,reconquete_crisis_independent_network,PRUDENT,65,54.34,0.108,0.092
party_reconquete_runoff,reconquete_runoff_right_contract,RASSEMBLEUR,29,84.76,1,0.448
party_nouvelle_energie_electorate,nouvelle_energie_electorate_hundred_meetings,POPULAIRE,111,82.43,0.775,0.676
party_nouvelle_energie_local_asset,nouvelle_energie_local_open_workshops,TRANSPARENT,150,91.6,0.967,0.887
party_nouvelle_energie_signature,nouvelle_energie_signature_silence_consent,RISQUÉ,128,82.34,0.781,0.648
party_nouvelle_energie_runoff,nouvelle_energie_runoff_coalition,RASSEMBLEUR,180,94.11,1,0.972
party_nouvelle_energie_alliance,nouvelle_energie_alliance_joint_platform,RASSEMBLEUR,41,93.17,1,0.951
party_nouvelle_energie_signature,nouvelle_energie_signature_single_portal,TECHNIQUE,58,92.29,0.966,0.879
party_nouvelle_energie_identity,nouvelle_energie_identity_reforms,CLIVANT,99,90.37,0.949,0.828
party_nouvelle_energie_electorate,nouvelle_energie_electorate_tax_simulator,TECHNIQUE,147,89.77,0.925,0.83
