partyId,n,secondRoundReachedShare,victoryGivenQualifiedShare,meanOwnRejectionAtSecondRound,meanOpponentRejectionAtSecondRound,meanSecondRoundDecisions,meanIntensityFirstRound,meanIntensitySecondRound
lfi,180,0.772,0.734,67.24,66.06,5.29,4.01,5.11
ps,180,0.767,0.775,76.79,66.83,5.3,4.12,5.06
ecologistes,180,0.694,0.792,44.82,69.5,5.44,4.1,5.1
renaissance,180,0.628,0.823,64.91,68.33,5.59,4.14,4.99
horizons,180,0.806,0.862,53.9,75.61,5.24,4.09,5.06
lr,180,0.533,0.76,66.47,71.21,5.88,4.11,4.96
rn,180,0.956,0.506,86.24,53.06,5.05,4.15,5.06
reconquete,180,0.294,0.396,77.01,66.86,7.4,4.03,4.7
nouvelle_energie,180,0.711,0.93,37.89,74.49,5.41,4.13,5.12
