partyId,n,qualificationRate,victoryRate,victoryGivenQualifiedRate,scoreStddevAcrossProfiles,funImmediat,profondeur,rejouabilite,identite,agence,tension,varieteStrategique,satisfactionVictoire,interetDefaite,funScore100
nouvelle_energie,180,0.733,0.6,0.818,7.36,7.3,6.3,7,6.5,4.3,8.8,4.3,7.4,3.6,70.7
ecologistes,180,0.656,0.461,0.703,11.66,5.2,10,2,4.6,10,9.9,9.4,8.5,9.3,64.7
lr,180,0.467,0.344,0.738,7.18,4.5,3.8,5.7,7.2,4.1,10,4.8,8.8,3.3,61.4
renaissance,180,0.633,0.5,0.789,8.45,4.8,6.8,5.8,2.5,5.7,8.6,5.1,8.8,3.8,59.9
reconquete,180,0.272,0.078,0.286,8.29,6.6,3.6,10,8,5.5,3.3,5.1,6.1,5.3,59.5
lfi,180,0.772,0.511,0.662,10.47,4.3,6.8,5.6,4.6,8.4,9.2,6.5,6.9,5,58.1
ps,180,0.794,0.594,0.748,10.78,5.4,7.6,3.2,3.8,8.8,8.2,8.3,6.6,9.7,57
rn,180,0.956,0.394,0.413,7.48,6.2,6.8,3.3,4.9,4.4,4.2,5.1,4.3,9.6,53.8
horizons,180,0.856,0.756,0.883,5.63,3.1,2.8,4.2,4.2,2,5.7,4.4,5.7,7.3,44.3
