partyId,n,shareWithAtLeastOneReversal,shareWithMultipleReversals,shareWithNoReversal,comebackRate,collapseRate
ALL,1620,0.867,0.73,0.133,0.054,0.01
lfi,180,0.989,0.867,0.011,0.089,0
ps,180,0.9,0.8,0.1,0.094,0.028
ecologistes,180,0.989,0.85,0.011,0.039,0.006
renaissance,180,0.956,0.744,0.044,0.022,0
horizons,180,0.894,0.767,0.106,0.067,0.006
lr,180,1,0.839,0,0.022,0.028
rn,180,0.65,0.461,0.35,0.028,0.006
reconquete,180,0.428,0.344,0.572,0.089,0.006
nouvelle_energie,180,1,0.9,0,0.033,0.011
