variant,partyId,profile,seedIndex,decisions,finalScore,qualified,won,firstRoundScore,eventIdSetSize,eventIdSetHash,rankVolatility,pollStdev,rareOrChainOrConflictMoments,ideologyMoveTotal,actorMemoryEntries
F_no_delayed_consequences,lfi,strategist,7,31,80,true,true,15.5,31,7a21cc69,0.29,1.86,0,25.4,0
A_baseline,lfi,cautious,0,31,76,true,true,15.3,31,a9751dc7,0.097,1.35,2,18.3,4
B1_no_opportunistic_randomness,lfi,cautious,0,29,69,true,false,14,29,481d9a15,0.276,2.07,3,15.21,2
B2_no_rare_events,lfi,cautious,0,29,72,true,false,16.3,29,68c66e8a,0.138,1.34,0,14.46,0
C_no_narrative_memory,lfi,cautious,0,31,79,true,true,14.7,31,d3717114,0.258,1.92,3,17.26,0
E_no_ideology_effects,lfi,cautious,0,31,83,true,true,19.6,31,b73f5634,0.161,1.74,0,0,0
F_no_delayed_consequences,lfi,cautious,0,31,80,true,true,15.8,31,5482648b,0.161,1.42,2,9.64,3
A_baseline,lfi,cautious,1,31,84,true,true,18.3,31,6a4a6a02,0.032,1.37,2,18.42,1
B1_no_opportunistic_randomness,lfi,cautious,1,29,77,true,false,17.6,29,ec2f2d0b,0.172,2.23,3,20.3,1
B2_no_rare_events,lfi,cautious,1,31,85,true,true,19.2,31,a66ee50c,0.226,1.65,2,16.66,3
C_no_narrative_memory,lfi,cautious,1,31,76,true,true,14.2,31,e44511bf,0.194,1.77,1,19.35,0
E_no_ideology_effects,lfi,cautious,1,29,66,true,false,13.9,29,71641127,0.172,1.22,1,0,0
F_no_delayed_consequences,lfi,cautious,1,29,78,true,false,17.7,29,c70ed3ec,0.31,2.19,2,13.3,3
A_baseline,lfi,cautious,2,31,89,true,true,20.5,31,7c24d0a,0.226,1.98,1,11.79,1
B1_no_opportunistic_randomness,lfi,cautious,2,29,66,true,false,13.1,29,bbf7305d,0.241,1.56,3,14.82,3
B2_no_rare_events,lfi,cautious,2,29,71,true,false,15.2,29,edbf3588,0.103,1.81,3,23.99,2
C_no_narrative_memory,lfi,cautious,2,29,74,true,false,15.1,29,7e359daf,0.103,1.58,2,18.17,0
E_no_ideology_effects,lfi,cautious,2,31,74,true,true,14.6,31,9dc629e8,0.226,1.59,0,0,2
F_no_delayed_consequences,lfi,cautious,2,29,72,true,false,15.4,29,c50a3a8f,0.276,1.89,1,15.07,1
A_baseline,lfi,cautious,3,31,75,true,true,14.3,31,a506968f,0.226,1.69,2,13.86,2
B1_no_opportunistic_randomness,lfi,cautious,3,31,84,true,true,18.3,31,dad8a2b0,0.129,1.78,4,15.54,2
B2_no_rare_events,lfi,cautious,3,31,72,true,true,13.9,31,9765a4af,0.161,1.17,6,18.82,4
C_no_narrative_memory,lfi,cautious,3,31,78,true,true,15.5,31,d1b9844f,0.194,1.46,2,14.59,0
E_no_ideology_effects,lfi,cautious,3,31,73,true,true,13.7,31,c83261e7,0.194,1.29,1,0,2
F_no_delayed_consequences,lfi,cautious,3,31,86,true,true,18.7,31,c073e2ca,0.226,1.94,2,17.9,3
A_baseline,lfi,cautious,4,31,84,true,true,18.1,31,e99bcdca,0.194,2.1,2,9.18,1
B1_no_opportunistic_randomness,lfi,cautious,4,31,78,true,true,14.4,31,28c49283,0.194,1.53,1,16.65,1
B2_no_rare_events,lfi,cautious,4,31,83,true,true,18.1,31,ed8c0de9,0.194,1.53,2,16.89,1
C_no_narrative_memory,lfi,cautious,4,31,77,true,true,15.6,31,844f734a,0.258,1.89,1,18.45,0
E_no_ideology_effects,lfi,cautious,4,31,73,true,true,14.4,31,dceb0887,0.161,0.92,1,0,2
F_no_delayed_consequences,lfi,cautious,4,31,77,true,true,16.3,31,98f002ec,0.226,1.22,1,4.49,2
A_baseline,lfi,cautious,5,31,84,true,true,18.7,31,d32a66d8,0.065,1.19,3,14.47,3
B1_no_opportunistic_randomness,lfi,cautious,5,29,71,true,false,14.7,29,56332858,0.138,1.43,3,17.39,3
B2_no_rare_events,lfi,cautious,5,29,72,true,false,15.2,29,b7b23213,0.172,1.47,1,18.05,1
C_no_narrative_memory,lfi,cautious,5,29,73,true,false,16.6,29,698ddc74,0.207,1.87,0,18.05,0
E_no_ideology_effects,lfi,cautious,5,31,80,true,true,17.8,31,9a2355ef,0.355,1.56,1,0,0
F_no_delayed_consequences,lfi,cautious,5,31,84,true,true,18.6,31,5ad511bc,0.29,1.55,1,13.22,1
A_baseline,lfi,cautious,6,29,70,true,false,16.8,29,45699c20,0.31,1.36,8,9.66,3
B1_no_opportunistic_randomness,lfi,cautious,6,31,76,true,true,15.3,31,4811b412,0.161,1.54,3,20.46,0
B2_no_rare_events,lfi,cautious,6,31,86,true,true,19.9,31,97516647,0.194,1.67,4,12.18,3
C_no_narrative_memory,lfi,cautious,6,31,78,true,true,15.7,31,c62011b3,0.161,1.26,0,12.36,0
E_no_ideology_effects,lfi,cautious,6,29,71,true,false,16.9,29,b1320adf,0.241,1.19,3,0,1
F_no_delayed_consequences,lfi,cautious,6,31,83,true,true,17.1,31,da5a76e8,0.097,1.64,2,15.9,0
A_baseline,lfi,cautious,7,31,85,true,true,18.5,31,d0b7e4bf,0.226,1.7,1,15.03,3
B1_no_opportunistic_randomness,lfi,cautious,7,31,78,true,true,15.8,31,7169e646,0.097,1.96,1,11.9,2
B2_no_rare_events,lfi,cautious,7,31,80,true,true,16.9,31,509ae51f,0.226,1.77,3,10.16,4
C_no_narrative_memory,lfi,cautious,7,31,82,true,true,19.4,31,16824ba,0.452,1.35,0,7.21,0
E_no_ideology_effects,lfi,cautious,7,25,52,false,false,14.3,25,a0c10cc8,0.28,1.3,0,0,1
F_no_delayed_consequences,lfi,cautious,7,29,64,true,false,13.5,29,2263fe2c,0.414,1.26,1,16.76,0
A_baseline,lfi,beginner,0,31,79,true,true,15.8,31,b3516c20,0.129,1.64,2,11.31,4
B1_no_opportunistic_randomness,lfi,beginner,0,29,73,true,false,15.1,29,fb664946,0.241,2.4,2,10.2,2
B2_no_rare_events,lfi,beginner,0,31,82,true,true,16.6,31,23e7cace,0.161,1.53,0,15.83,0
C_no_narrative_memory,lfi,beginner,0,31,79,true,true,14.7,31,b63faf48,0.323,2.02,4,13.25,0
E_no_ideology_effects,lfi,beginner,0,31,81,true,true,19,31,adfb83bd,0.161,1.52,0,0,1
F_no_delayed_consequences,lfi,beginner,0,31,84,true,true,17,31,6b67fc16,0.065,1.62,1,15.85,1
A_baseline,lfi,beginner,1,31,83,true,true,17.7,31,6a4a6a02,0.032,1.2,2,18.25,1
B1_no_opportunistic_randomness,lfi,beginner,1,29,74,true,false,17.3,29,10c767e7,0.207,2.05,3,15.43,1
B2_no_rare_events,lfi,beginner,1,29,73,true,false,16.1,29,1d6b63c7,0.241,1.58,3,14.36,4
C_no_narrative_memory,lfi,beginner,1,31,78,true,true,14.8,31,9ae3158,0.226,2.03,2,7.38,0
E_no_ideology_effects,lfi,beginner,1,29,69,true,false,14.6,29,71641127,0.172,1.28,1,0,0
F_no_delayed_consequences,lfi,beginner,1,29,75,true,false,17,29,977d5dc9,0.31,1.99,2,21.39,3
A_baseline,lfi,beginner,2,31,90,true,true,21.1,31,2930c064,0.161,2.13,2,22.18,1
B1_no_opportunistic_randomness,lfi,beginner,2,31,75,true,true,13.7,31,4330b453,0.161,1.8,3,19.58,4
B2_no_rare_events,lfi,beginner,2,29,72,true,false,15.5,29,2a88e9c8,0.103,1.96,4,17.94,3
C_no_narrative_memory,lfi,beginner,2,29,74,true,false,15.3,29,d16a786f,0.103,1.63,2,17.07,0
E_no_ideology_effects,lfi,beginner,2,31,76,true,true,14.8,31,9dc629e8,0.258,1.82,0,0,2
F_no_delayed_consequences,lfi,beginner,2,29,69,true,false,14.6,29,c96fe72e,0.207,1.9,1,21.84,0
A_baseline,lfi,beginner,3,31,80,true,true,15.2,31,c008f3ae,0.161,1.88,2,12.16,3
B1_no_opportunistic_randomness,lfi,beginner,3,31,84,true,true,17.4,31,3d3f2438,0.29,1.61,2,16.39,2
B2_no_rare_events,lfi,beginner,3,31,74,true,true,14,31,1dbfa5d4,0.161,1.18,3,12.79,3
C_no_narrative_memory,lfi,beginner,3,31,82,true,true,16.6,31,acd1edad,0.226,1.78,1,14.73,0
E_no_ideology_effects,lfi,beginner,3,29,67,true,false,14.7,29,9ad89b25,0.241,1.39,1,0,2
F_no_delayed_consequences,lfi,beginner,3,31,83,true,true,18.5,31,1f209bd9,0.194,2.01,4,9.24,5
A_baseline,lfi,beginner,4,31,84,true,true,18,31,692726bc,0.226,2.08,3,9.26,1
B1_no_opportunistic_randomness,lfi,beginner,4,29,71,true,false,14.4,29,e5e22aa9,0.241,1.47,0,18.42,0
B2_no_rare_events,lfi,beginner,4,31,78,true,true,16.8,31,3901693d,0.323,1.28,2,15.76,3
C_no_narrative_memory,lfi,beginner,4,31,76,true,true,15.1,31,2fabfb96,0.258,1.75,1,14.49,0
E_no_ideology_effects,lfi,beginner,4,31,74,true,true,15.6,31,54847e37,0.194,1.41,1,0,2
F_no_delayed_consequences,lfi,beginner,4,31,83,true,true,17.4,31,3f58eb98,0.097,1.46,1,11.62,3
A_baseline,lfi,beginner,5,31,87,true,true,18.9,31,38b27925,0.194,1.55,3,11.42,3
B1_no_opportunistic_randomness,lfi,beginner,5,29,75,true,false,15.4,29,ca83eadd,0.172,1.72,1,14.16,1
B2_no_rare_events,lfi,beginner,5,31,81,true,true,15.9,31,91abc2d6,0.129,1.84,1,11.99,1
C_no_narrative_memory,lfi,beginner,5,29,76,true,false,17.1,29,ed6a19ab,0.241,2.01,0,22.67,0
E_no_ideology_effects,lfi,beginner,5,31,80,true,true,18.3,31,8ca982ee,0.323,1.7,1,0,0
F_no_delayed_consequences,lfi,beginner,5,31,85,true,true,19.1,31,9b6ceff9,0.226,1.73,0,17.43,1
