variant,partyId,profile,seedIndex,decisions,finalScore,qualified,won,firstRoundScore,eventIdSetSize,eventIdSetHash,rankVolatility,pollStdev,rareOrChainOrConflictMoments,ideologyMoveTotal,actorMemoryEntries
E_no_ideology_effects,ps,cautious,7,31,91,true,true,20,31,f29efc5d,0.194,1.84,0,0,4
F_no_delayed_consequences,ps,cautious,7,31,83,true,true,13.4,31,89f7785b,0.323,1.9,4,3.76,1
A_baseline,ps,beginner,0,31,86,true,true,14.6,31,7b0dfa86,0.419,1.24,2,6.06,3
B1_no_opportunistic_randomness,ps,beginner,0,31,91,true,true,16.6,31,6773eefc,0.161,1.52,0,6.36,0
B2_no_rare_events,ps,beginner,0,31,92,true,true,15.7,31,bcb18292,0.097,2.07,0,9.27,0
C_no_narrative_memory,ps,beginner,0,31,94,true,true,18.1,31,5e1d79d4,0.129,2.04,4,9.75,0
E_no_ideology_effects,ps,beginner,0,31,89,true,true,17.7,31,200ea93d,0.419,1.83,0,0,1
F_no_delayed_consequences,ps,beginner,0,31,91,true,true,15.4,31,a835a2f5,0.129,1.54,5,6.67,0
A_baseline,ps,beginner,1,31,88,true,true,14.5,31,bcbccc4b,0.129,1.72,5,8.83,4
B1_no_opportunistic_randomness,ps,beginner,1,25,60,false,false,12.1,25,df9b9413,0.36,1.73,2,13.87,3
B2_no_rare_events,ps,beginner,1,31,85,true,true,12.9,31,59a1bda5,0.226,1.82,0,11.52,1
C_no_narrative_memory,ps,beginner,1,31,89,true,true,16.6,31,dd2dfd2b,0.161,2.12,1,3.7,0
E_no_ideology_effects,ps,beginner,1,29,80,true,false,15,29,1351c806,0.241,1.25,1,0,2
F_no_delayed_consequences,ps,beginner,1,29,86,true,false,16.6,29,62d102fe,0.172,1.96,2,11.77,3
A_baseline,ps,beginner,2,31,94,true,true,18.5,31,64c8cd8b,0.129,2.18,2,11.07,1
B1_no_opportunistic_randomness,ps,beginner,2,31,95,true,true,18.9,31,570cf56e,0.097,2.17,2,13.41,2
B2_no_rare_events,ps,beginner,2,29,80,true,false,14.9,29,5df7f3b3,0.207,0.9,1,13.1,3
C_no_narrative_memory,ps,beginner,2,31,93,true,true,17.5,31,9070bf77,0.129,1.82,1,5.6,0
E_no_ideology_effects,ps,beginner,2,29,84,true,false,17.3,29,a2b3b364,0.069,1.83,2,0,3
F_no_delayed_consequences,ps,beginner,2,31,94,true,true,18.9,31,b3420235,0.097,2.42,0,11.29,1
A_baseline,ps,beginner,3,31,95,true,true,19.1,31,fcc1f0ec,0.161,1.86,3,10.9,3
B1_no_opportunistic_randomness,ps,beginner,3,29,79,true,false,13.4,29,3f82836,0.276,1.88,2,5.51,3
B2_no_rare_events,ps,beginner,3,31,90,true,true,15.1,31,e95b3d4,0.161,1.65,2,6.95,1
C_no_narrative_memory,ps,beginner,3,31,85,true,true,13.2,31,4864ad43,0.258,1.66,5,5.54,0
E_no_ideology_effects,ps,beginner,3,25,62,false,false,13.2,25,88a797bb,0.32,1.22,1,0,3
F_no_delayed_consequences,ps,beginner,3,31,85,true,true,13.8,31,2b2158d6,0.226,1.42,6,3.33,3
A_baseline,ps,beginner,4,31,94,true,true,18.5,31,521531fb,0.097,2.61,3,5.55,3
B1_no_opportunistic_randomness,ps,beginner,4,29,88,true,false,18.4,29,a4da792a,0.276,2.45,0,14.34,0
B2_no_rare_events,ps,beginner,4,29,83,true,false,15.7,29,81066d5e,0.103,1.95,2,6.87,3
C_no_narrative_memory,ps,beginner,4,31,89,true,true,15.5,31,50b287f5,0.258,1.93,1,15.95,0
E_no_ideology_effects,ps,beginner,4,31,86,true,true,15,31,36ebf0a0,0.258,1.28,3,0,2
F_no_delayed_consequences,ps,beginner,4,31,91,true,true,17.3,31,274d721d,0.258,2.05,2,12.49,1
A_baseline,ps,beginner,5,31,92,true,true,17.3,31,b551920c,0.097,1.62,1,5.94,1
B1_no_opportunistic_randomness,ps,beginner,5,31,93,true,true,17.1,31,919f9d3,0.161,1.54,2,7.96,3
B2_no_rare_events,ps,beginner,5,25,65,false,false,12.3,25,145da063,0.28,1.42,1,8.26,2
C_no_narrative_memory,ps,beginner,5,31,90,true,true,15.9,31,c92f8cca,0.129,1.97,2,11.83,0
E_no_ideology_effects,ps,beginner,5,31,88,true,true,17.5,31,1a76a4ac,0.161,1.36,0,0,0
F_no_delayed_consequences,ps,beginner,5,31,94,true,true,19.2,31,2f76487d,0.194,1.64,4,4.36,3
A_baseline,ps,beginner,6,31,92,true,true,17.5,31,a0bf0474,0.194,1.19,1,8.14,4
B1_no_opportunistic_randomness,ps,beginner,6,31,95,true,true,18.6,31,14a5ae2e,0.226,2.37,4,9.21,2
B2_no_rare_events,ps,beginner,6,31,89,true,true,14.2,31,4f156b50,0.129,1.33,3,6.66,3
C_no_narrative_memory,ps,beginner,6,31,90,true,true,16.5,31,fc610b81,0.129,1.45,4,7.05,0
E_no_ideology_effects,ps,beginner,6,31,87,true,true,16,31,f39257e9,0.226,1.36,3,0,2
F_no_delayed_consequences,ps,beginner,6,31,86,true,true,13.6,31,e6fdbd85,0.29,1.61,1,5.5,0
A_baseline,ps,beginner,7,31,95,true,true,18.7,31,9e29f7b,0.129,2.68,5,12.75,3
B1_no_opportunistic_randomness,ps,beginner,7,31,92,true,true,17.7,31,d240c345,0.194,1.81,1,15.41,1
B2_no_rare_events,ps,beginner,7,29,81,true,false,13.9,29,a511324f,0.069,1.49,3,11.76,3
C_no_narrative_memory,ps,beginner,7,31,91,true,true,16,31,42a8f3a7,0.129,1.42,2,10.56,0
E_no_ideology_effects,ps,beginner,7,31,91,true,true,19.8,31,f29efc5d,0.194,1.81,0,0,4
F_no_delayed_consequences,ps,beginner,7,31,92,true,true,16.8,31,a893044c,0.226,2.12,3,7.45,2
A_baseline,ecologistes,strategist,0,31,88,true,true,16.4,31,4b640f44,0.194,1.99,2,28.26,2
B1_no_opportunistic_randomness,ecologistes,strategist,0,25,49,false,false,10.4,25,ebdb55f5,0.64,1.64,2,20.51,0
B2_no_rare_events,ecologistes,strategist,0,31,84,true,true,14.6,31,2882c076,0.323,1.7,0,12.97,0
C_no_narrative_memory,ecologistes,strategist,0,31,82,true,true,13.6,31,1cea6f0b,0.29,2.12,4,34.57,0
E_no_ideology_effects,ecologistes,strategist,0,29,74,true,false,15.7,29,3dffd45f,0.276,1.89,1,0,1
F_no_delayed_consequences,ecologistes,strategist,0,31,81,true,true,14.1,31,dbd45e58,0.387,1.61,4,18.29,0
A_baseline,ecologistes,strategist,1,31,87,true,true,16.2,31,8fb53dd,0.161,1.91,3,21.58,2
B1_no_opportunistic_randomness,ecologistes,strategist,1,29,82,true,false,16.5,29,943f62be,0.207,1.41,2,9.09,2
B2_no_rare_events,ecologistes,strategist,1,31,87,true,true,16.7,31,35ac2179,0.484,1.78,1,15.32,3
C_no_narrative_memory,ecologistes,strategist,1,31,88,true,true,17.4,31,cfd7f2c4,0.355,1.8,1,11.55,0
E_no_ideology_effects,ecologistes,strategist,1,31,80,true,true,15,31,d7606466,0.258,1.42,0,0,1
F_no_delayed_consequences,ecologistes,strategist,1,29,85,true,false,18.6,29,1f50d5a6,0.276,1.49,2,13.64,4
A_baseline,ecologistes,strategist,2,31,89,true,true,16.9,31,c524bc22,0.29,1.53,1,12.43,0
B1_no_opportunistic_randomness,ecologistes,strategist,2,29,81,true,false,16,29,7d983d4c,0.207,2.27,6,22.7,3
B2_no_rare_events,ecologistes,strategist,2,31,82,true,true,14.3,31,a8808209,0.29,1.39,0,21.2,1
C_no_narrative_memory,ecologistes,strategist,2,29,78,true,false,14.8,29,db65cd7b,0.345,1.45,2,24.06,0
E_no_ideology_effects,ecologistes,strategist,2,29,72,true,false,13.8,29,daf4a64a,0.517,1.46,2,0,3
F_no_delayed_consequences,ecologistes,strategist,2,29,79,true,false,16.4,29,6afee432,0.345,1.54,1,13.3,2
A_baseline,ecologistes,strategist,3,25,63,false,false,14.4,25,6eab365,0.36,1.83,2,15.44,3
B1_no_opportunistic_randomness,ecologistes,strategist,3,25,62,false,false,12.8,25,67f6d5f2,0.36,1.89,3,24.21,3
B2_no_rare_events,ecologistes,strategist,3,29,84,true,false,18,29,f7bcf6c0,0.345,1.43,0,15.41,0
C_no_narrative_memory,ecologistes,strategist,3,31,83,true,true,15,31,baae4230,0.419,1.44,2,14.26,0
E_no_ideology_effects,ecologistes,strategist,3,25,52,false,false,10.9,25,f94d6a36,0.56,1.25,1,0,4
F_no_delayed_consequences,ecologistes,strategist,3,31,87,true,true,15.8,31,827eb918,0.387,1.54,3,9.89,3
A_baseline,ecologistes,strategist,4,31,82,true,true,14.5,31,8c8401d7,0.258,1.85,4,10.22,2
B1_no_opportunistic_randomness,ecologistes,strategist,4,31,87,true,true,16.2,31,f3fb52cf,0.194,1.67,1,5.73,2
B2_no_rare_events,ecologistes,strategist,4,29,74,true,false,14.2,29,5c272025,0.552,1.69,0,6.43,0
C_no_narrative_memory,ecologistes,strategist,4,29,73,true,false,12.7,29,59af4a1d,0.414,1.34,2,15.54,0
E_no_ideology_effects,ecologistes,strategist,4,31,74,true,true,12.2,31,4779e372,0.355,1.63,1,0,1
F_no_delayed_consequences,ecologistes,strategist,4,31,74,true,true,12.9,31,2a99d7a5,0.645,1.31,0,17.68,1
A_baseline,ecologistes,strategist,5,25,51,false,false,11.1,25,7944a403,0.44,1.45,0,15.11,1
B1_no_opportunistic_randomness,ecologistes,strategist,5,31,91,true,true,17.9,31,8a63a672,0.323,1.82,3,26.96,3
B2_no_rare_events,ecologistes,strategist,5,31,87,true,true,16.6,31,76cd3486,0.323,1.95,3,8.28,2
C_no_narrative_memory,ecologistes,strategist,5,25,51,false,false,10.9,25,818a97b4,0.4,1.41,3,13.76,0
E_no_ideology_effects,ecologistes,strategist,5,25,48,false,false,10.3,25,2f849193,0.64,1.49,1,0,0
F_no_delayed_consequences,ecologistes,strategist,5,31,80,true,true,13.2,31,deca42cf,0.29,2.42,0,4.11,1
A_baseline,ecologistes,strategist,6,25,60,false,false,12.4,25,877058e,0.48,1.47,3,23.71,2
B1_no_opportunistic_randomness,ecologistes,strategist,6,31,75,true,true,12.8,31,555cfc3c,0.29,1.25,1,6.79,1
B2_no_rare_events,ecologistes,strategist,6,31,89,true,true,17,31,671dae64,0.387,1.67,3,20.49,4
C_no_narrative_memory,ecologistes,strategist,6,29,73,true,false,13.6,29,e517881c,0.345,1.49,1,12.36,0
E_no_ideology_effects,ecologistes,strategist,6,25,55,false,false,12,25,ab8d29,0.48,1.66,4,0,3
F_no_delayed_consequences,ecologistes,strategist,6,31,81,true,true,13.8,31,1877d168,0.194,1.6,0,8.96,2
A_baseline,ecologistes,strategist,7,31,90,true,true,18.1,31,d1c581e5,0.161,1.93,5,13.03,3
B1_no_opportunistic_randomness,ecologistes,strategist,7,31,89,true,true,16.7,31,31d6a6c1,0.194,2.04,0,22.49,1
B2_no_rare_events,ecologistes,strategist,7,29,74,true,false,15,29,9cfe295d,0.586,1.5,3,19.72,4
C_no_narrative_memory,ecologistes,strategist,7,29,71,true,false,13.4,29,1d434a4a,0.517,1.28,2,11.44,0
E_no_ideology_effects,ecologistes,strategist,7,31,78,true,true,14.3,31,e6492b6e,0.194,1.85,0,0,1
F_no_delayed_consequences,ecologistes,strategist,7,31,81,true,true,13.8,31,452c2f44,0.452,1.63,1,17.75,2
A_baseline,ecologistes,cautious,0,31,86,true,true,15.6,31,191e8502,0.258,1.82,3,12.54,4
B1_no_opportunistic_randomness,ecologistes,cautious,0,25,53,false,false,11.2,25,22a74e9,0.56,1.93,2,15.1,0
B2_no_rare_events,ecologistes,cautious,0,29,74,true,false,13.4,29,8682f91f,0.241,1.47,1,10.93,1
C_no_narrative_memory,ecologistes,cautious,0,31,79,true,true,13.1,31,e683178c,0.29,2.09,2,21.53,0
E_no_ideology_effects,ecologistes,cautious,0,31,87,true,true,17.1,31,6bffe07a,0.29,2.28,2,0,1
F_no_delayed_consequences,ecologistes,cautious,0,31,86,true,true,14.8,31,dddce2fb,0.226,2.07,3,27.12,0
A_baseline,ecologistes,cautious,1,31,83,true,true,14.6,31,652f031e,0.161,1.6,3,14.98,4
B1_no_opportunistic_randomness,ecologistes,cautious,1,29,79,true,false,14.6,29,c4402637,0.483,1.13,3,14.72,2
B2_no_rare_events,ecologistes,cautious,1,31,90,true,true,17.2,31,36b8cbd0,0.419,1.78,5,21.56,3
C_no_narrative_memory,ecologistes,cautious,1,31,86,true,true,16.4,31,52779d9a,0.355,1.68,2,14.06,0
E_no_ideology_effects,ecologistes,cautious,1,31,80,true,true,14.4,31,d7606466,0.29,1.32,0,0,1
F_no_delayed_consequences,ecologistes,cautious,1,29,82,true,false,17.3,29,8c5150ce,0.483,1.31,2,16.31,4
A_baseline,ecologistes,cautious,2,31,90,true,true,16.4,31,1efeb383,0.29,1.56,1,16.56,0
B1_no_opportunistic_randomness,ecologistes,cautious,2,31,84,true,true,14.1,31,a4bb9c1b,0.161,1.62,4,16.53,2
B2_no_rare_events,ecologistes,cautious,2,31,82,true,true,13.8,31,ebfe61dd,0.129,1.42,0,23.16,0
C_no_narrative_memory,ecologistes,cautious,2,29,81,true,false,15.6,29,7f8c4785,0.241,1.84,3,12.14,0
E_no_ideology_effects,ecologistes,cautious,2,31,79,true,true,13.6,31,c2f1c368,0.484,1.46,2,0,3
F_no_delayed_consequences,ecologistes,cautious,2,29,81,true,false,16.7,29,fdd57a62,0.207,1.81,1,10.8,2
A_baseline,ecologistes,cautious,3,25,67,false,false,14.7,25,430a54e7,0.2,1.99,4,10.66,3
B1_no_opportunistic_randomness,ecologistes,cautious,3,25,53,false,false,11.4,25,b0104728,0.36,1.44,3,13.52,3
B2_no_rare_events,ecologistes,cautious,3,29,83,true,false,17.4,29,8d431f66,0.483,1.36,5,11.37,4
C_no_narrative_memory,ecologistes,cautious,3,31,81,true,true,13.9,31,e48789da,0.323,1.6,5,10.06,0
E_no_ideology_effects,ecologistes,cautious,3,25,55,false,false,10.9,25,3e31a2cd,0.36,1.53,1,0,4
F_no_delayed_consequences,ecologistes,cautious,3,31,84,true,true,14.5,31,f9b5df9b,0.419,1.45,3,8.77,3
A_baseline,ecologistes,cautious,4,31,83,true,true,14,31,2c9dd463,0.258,1.69,2,18.62,1
B1_no_opportunistic_randomness,ecologistes,cautious,4,25,64,false,false,13.6,25,38d33490,0.4,1.41,0,20.54,0
B2_no_rare_events,ecologistes,cautious,4,29,79,true,false,14.8,29,b6cb57af,0.379,1.75,0,22.51,0
C_no_narrative_memory,ecologistes,cautious,4,31,85,true,true,14.8,31,276f2230,0.194,1.62,1,12.42,0
E_no_ideology_effects,ecologistes,cautious,4,25,53,false,false,11.5,25,6673bd71,0.48,1.31,2,0,2
F_no_delayed_consequences,ecologistes,cautious,4,25,58,false,false,12.6,25,ace6a713,0.36,1.85,1,21.21,2
A_baseline,ecologistes,cautious,5,25,62,false,false,12.9,25,cd98d41b,0.44,1.81,0,11.81,1
B1_no_opportunistic_randomness,ecologistes,cautious,5,31,91,true,true,17.6,31,1c9694fc,0.387,1.73,2,13.54,3
B2_no_rare_events,ecologistes,cautious,5,31,88,true,true,16.7,31,d79c19b8,0.323,1.97,2,10.03,3
C_no_narrative_memory,ecologistes,cautious,5,25,60,false,false,12.8,25,5d7d24fd,0.32,1.84,5,22.5,0
E_no_ideology_effects,ecologistes,cautious,5,25,54,false,false,11.5,25,7c896232,0.4,1.99,2,0,0
F_no_delayed_consequences,ecologistes,cautious,5,25,60,false,false,12.3,25,bb5ccc57,0.28,2.56,3,11.8,2
A_baseline,ecologistes,cautious,6,25,51,false,false,10.3,25,d9c6d6a6,0.64,1.02,2,14.77,5
B1_no_opportunistic_randomness,ecologistes,cautious,6,29,77,true,false,13.9,29,b676c3e3,0.241,1.57,2,15.32,1
B2_no_rare_events,ecologistes,cautious,6,31,84,true,true,14.8,31,a21c8ab3,0.419,1.15,5,16.67,6
C_no_narrative_memory,ecologistes,cautious,6,25,51,false,false,10,25,6e8674a6,0.6,1.3,0,11.03,0
E_no_ideology_effects,ecologistes,cautious,6,31,82,true,true,14.8,31,962a2eac,0.419,1.95,4,0,3
F_no_delayed_consequences,ecologistes,cautious,6,31,81,true,true,12.9,31,bab937ae,0.226,1.6,0,12.98,0
A_baseline,ecologistes,cautious,7,31,90,true,true,17.1,31,654b222d,0.161,1.74,5,22.38,3
B1_no_opportunistic_randomness,ecologistes,cautious,7,31,85,true,true,15.7,31,1be4fe05,0.161,1.89,1,16.7,2
B2_no_rare_events,ecologistes,cautious,7,31,86,true,true,15.6,31,397766e9,0.355,1.75,3,10.09,4
C_no_narrative_memory,ecologistes,cautious,7,29,71,true,false,13.2,29,424bfaa7,0.483,1.25,2,9.38,0
E_no_ideology_effects,ecologistes,cautious,7,25,60,false,false,13.6,25,44991be6,0.24,1.69,0,0,1
F_no_delayed_consequences,ecologistes,cautious,7,29,74,true,false,13.5,29,ecbd0f4c,0.483,1.48,1,24.67,2
A_baseline,ecologistes,beginner,0,31,86,true,true,15.3,31,10836638,0.355,1.67,3,10.32,2
B1_no_opportunistic_randomness,ecologistes,beginner,0,25,65,false,false,13.1,25,ebdb55f5,0.52,2.38,2,17.68,0
B2_no_rare_events,ecologistes,beginner,0,29,77,true,false,14.1,29,f5f5c6d8,0.241,1.6,0,22.42,0
C_no_narrative_memory,ecologistes,beginner,0,31,84,true,true,13.5,31,2ccfb7d,0.323,2.38,2,19.44,0
E_no_ideology_effects,ecologistes,beginner,0,31,87,true,true,17,31,b81a693,0.29,2.19,1,0,2
F_no_delayed_consequences,ecologistes,beginner,0,31,88,true,true,15.4,31,ad9315fa,0.194,2.23,5,19.66,1
A_baseline,ecologistes,beginner,1,31,86,true,true,15.3,31,be4aefd4,0.161,1.76,3,15.41,3
B1_no_opportunistic_randomness,ecologistes,beginner,1,29,81,true,false,15.7,29,943f62be,0.207,1.28,2,18.77,2
B2_no_rare_events,ecologistes,beginner,1,31,90,true,true,17,31,392dc369,0.452,1.8,1,21.76,2
C_no_narrative_memory,ecologistes,beginner,1,31,93,true,true,18.8,31,8f34aa60,0.226,2.4,1,8.17,0
E_no_ideology_effects,ecologistes,beginner,1,31,84,true,true,15.7,31,d7606466,0.258,1.71,0,0,1
F_no_delayed_consequences,ecologistes,beginner,1,29,82,true,false,17.7,29,49c1d551,0.655,1.25,2,13.02,3
A_baseline,ecologistes,beginner,2,31,92,true,true,17.4,31,1efeb383,0.323,2.05,1,11.05,0
B1_no_opportunistic_randomness,ecologistes,beginner,2,31,90,true,true,15.9,31,3f6c5ec4,0.161,2.33,3,14.77,2
B2_no_rare_events,ecologistes,beginner,2,31,82,true,true,13.6,31,30def586,0.29,1.41,0,11.84,0
C_no_narrative_memory,ecologistes,beginner,2,29,80,true,false,15.3,29,b0d05421,0.276,1.86,1,5.4,0
E_no_ideology_effects,ecologistes,beginner,2,25,61,false,false,13.1,25,337b3860,0.52,1.32,2,0,3
F_no_delayed_consequences,ecologistes,beginner,2,31,92,true,true,17.2,31,9bac792a,0.129,1.84,1,10.14,2
A_baseline,ecologistes,beginner,3,31,89,true,true,15.7,31,5a29ff69,0.161,2.25,3,14.05,4
B1_no_opportunistic_randomness,ecologistes,beginner,3,31,85,true,true,14.7,31,2ec4cd52,0.226,1.76,3,25.88,3
B2_no_rare_events,ecologistes,beginner,3,31,87,true,true,15.4,31,ba09ca3b,0.323,1.94,0,8.5,0
C_no_narrative_memory,ecologistes,beginner,3,31,86,true,true,15.2,31,1f5c839,0.29,2.3,3,19.35,0
E_no_ideology_effects,ecologistes,beginner,3,25,57,false,false,12.1,25,a652a6d3,0.36,1.57,1,0,4
F_no_delayed_consequences,ecologistes,beginner,3,31,90,true,true,16.1,31,66da29bc,0.387,1.75,2,8.78,3
A_baseline,ecologistes,beginner,4,31,85,true,true,14,31,aa4f31f3,0.323,2.02,2,15.75,3
B1_no_opportunistic_randomness,ecologistes,beginner,4,25,60,false,false,12.8,25,e38ee0f6,0.56,0.93,0,9.51,0
B2_no_rare_events,ecologistes,beginner,4,29,81,true,false,15.4,29,5c272025,0.483,2,0,9.57,0
C_no_narrative_memory,ecologistes,beginner,4,31,87,true,true,14.8,31,eb41c4bd,0.355,1.73,6,17.03,0
E_no_ideology_effects,ecologistes,beginner,4,25,55,false,false,11.7,25,6673bd71,0.52,1.31,2,0,2
F_no_delayed_consequences,ecologistes,beginner,4,25,57,false,false,12.2,25,ace6a713,0.4,1.79,1,21.15,2
A_baseline,ecologistes,beginner,5,29,76,true,false,13.4,29,7aedcb22,0.31,2.02,0,12.19,1
B1_no_opportunistic_randomness,ecologistes,beginner,5,31,90,true,true,17.4,31,ac3173d4,0.548,1.43,3,11.27,4
B2_no_rare_events,ecologistes,beginner,5,31,89,true,true,16.9,31,c2da649a,0.323,1.93,2,7.57,2
C_no_narrative_memory,ecologistes,beginner,5,31,85,true,true,14.3,31,be326f10,0.226,2.34,2,15.6,0
E_no_ideology_effects,ecologistes,beginner,5,25,54,false,false,11.8,25,6d1f2545,0.36,1.95,2,0,0
F_no_delayed_consequences,ecologistes,beginner,5,31,82,true,true,13.4,31,d6797963,0.194,2.61,1,13.33,1
A_baseline,ecologistes,beginner,6,25,56,false,false,11.7,25,7f943b80,0.68,1.07,2,15.27,1
B1_no_opportunistic_randomness,ecologistes,beginner,6,31,82,true,true,13,31,993f76f3,0.226,2.16,5,22.35,2
B2_no_rare_events,ecologistes,beginner,6,31,93,true,true,18.2,31,57ca2239,0.323,2.05,4,17.35,4
C_no_narrative_memory,ecologistes,beginner,6,25,54,false,false,10.6,25,70b4202f,0.44,1.53,3,12.59,0
E_no_ideology_effects,ecologistes,beginner,6,31,82,true,true,14.3,31,115d8af7,0.452,1.84,4,0,2
F_no_delayed_consequences,ecologistes,beginner,6,31,85,true,true,14.2,31,130210d3,0.258,1.93,1,14.39,1
A_baseline,ecologistes,beginner,7,31,88,true,true,16.9,31,e4300e21,0.194,1.85,5,17.84,3
B1_no_opportunistic_randomness,ecologistes,beginner,7,31,88,true,true,15.6,31,71006c3f,0.258,2.06,0,10.48,1
B2_no_rare_events,ecologistes,beginner,7,31,90,true,true,16.3,31,72d24749,0.419,2.07,2,23.16,3
C_no_narrative_memory,ecologistes,beginner,7,31,87,true,true,14.8,31,cdcee4ba,0.387,2,0,15.62,0
E_no_ideology_effects,ecologistes,beginner,7,25,61,false,false,13.1,25,44991be6,0.2,1.61,0,0,1
F_no_delayed_consequences,ecologistes,beginner,7,31,83,true,true,13.8,31,452c2f44,0.548,1.69,1,17.95,2
A_baseline,renaissance,strategist,0,31,78,true,true,16.5,31,13fbb6a2,0.258,1.5,3,11.58,2
B1_no_opportunistic_randomness,renaissance,strategist,0,25,49,false,false,12,25,15deb320,0.2,1.64,4,20.48,2
B2_no_rare_events,renaissance,strategist,0,31,75,true,true,15.3,31,4ff93814,0.129,1.63,1,13.8,3
C_no_narrative_memory,renaissance,strategist,0,31,72,true,true,15.5,31,b89b16c,0.194,1.01,5,18.17,0
E_no_ideology_effects,renaissance,strategist,0,31,72,true,true,14.3,31,b4512065,0.129,1.2,4,0,4
F_no_delayed_consequences,renaissance,strategist,0,31,78,true,true,17,31,22ca07c6,0.323,1.53,3,23.59,3
A_baseline,renaissance,strategist,1,25,53,false,false,13,25,a1d0d711,0.2,1.48,0,15.29,1
B1_no_opportunistic_randomness,renaissance,strategist,1,31,74,true,true,15.8,31,3f21f8d3,0.065,1.18,5,9.08,1
B2_no_rare_events,renaissance,strategist,1,31,74,true,true,14.5,31,6f06900c,0.065,1.69,4,8.92,0
C_no_narrative_memory,renaissance,strategist,1,31,76,true,true,17.7,31,c544545d,0.129,1.13,0,15.55,0
E_no_ideology_effects,renaissance,strategist,1,31,70,true,true,13.4,31,5566d724,0.129,1.33,2,0,0
F_no_delayed_consequences,renaissance,strategist,1,25,50,false,false,12.1,25,4e7e44e9,0.24,1.2,4,25.59,1
A_baseline,renaissance,strategist,2,31,77,true,true,15.4,31,1b988c42,0.161,1.63,2,9.61,4
B1_no_opportunistic_randomness,renaissance,strategist,2,31,78,true,true,16.2,31,73f4de3,0.226,1.64,3,11.02,3
B2_no_rare_events,renaissance,strategist,2,31,79,true,true,15.4,31,50597d19,0.129,1.67,3,22.15,3
C_no_narrative_memory,renaissance,strategist,2,31,79,true,true,15.9,31,7a41faad,0.226,1.6,3,16.16,0
E_no_ideology_effects,renaissance,strategist,2,31,69,true,true,13.1,31,adaa5b5d,0.419,1.51,5,0,4
F_no_delayed_consequences,renaissance,strategist,2,31,72,true,true,13.5,31,d06d0479,0.065,1.46,0,14.44,2
A_baseline,renaissance,strategist,3,25,57,false,false,14.7,25,b07a60e7,0.36,1.51,3,7.56,1
B1_no_opportunistic_randomness,renaissance,strategist,3,31,83,true,true,18.8,31,b905fec5,0.097,2.21,4,11.48,4
B2_no_rare_events,renaissance,strategist,3,31,75,true,true,15.4,31,3f2cefec,0.194,1.73,3,16.68,0
C_no_narrative_memory,renaissance,strategist,3,25,56,false,false,12.8,25,2e4099d,0.28,1.35,3,16,0
E_no_ideology_effects,renaissance,strategist,3,29,65,true,false,14.4,29,e63d842b,0.069,1.03,5,0,2
F_no_delayed_consequences,renaissance,strategist,3,31,81,true,true,16.8,31,21222067,0.161,1.76,4,7.54,2
A_baseline,renaissance,strategist,4,29,63,true,false,12.9,29,86d32c39,0.345,1.49,6,18,2
B1_no_opportunistic_randomness,renaissance,strategist,4,31,76,true,true,14.9,31,fdd59cd4,0.161,1.65,1,15.29,0
B2_no_rare_events,renaissance,strategist,4,31,78,true,true,16.8,31,22d783a2,0.129,1.29,0,16.53,0
C_no_narrative_memory,renaissance,strategist,4,29,65,true,false,13.7,29,59cfc7b4,0.241,1.11,4,10.41,0
E_no_ideology_effects,renaissance,strategist,4,31,75,true,true,16.9,31,ed1ac342,0.065,1.59,1,0,1
F_no_delayed_consequences,renaissance,strategist,4,31,84,true,true,18.5,31,d822b861,0.258,1.7,3,18.2,2
A_baseline,renaissance,strategist,5,25,54,false,false,12.7,25,ff74d4cb,0.24,1.47,3,15.04,3
B1_no_opportunistic_randomness,renaissance,strategist,5,31,86,true,true,19,31,523787b2,0.194,1.52,4,16.89,3
B2_no_rare_events,renaissance,strategist,5,31,77,true,true,15.5,31,16e6f53b,0.129,1.66,1,14.5,1
C_no_narrative_memory,renaissance,strategist,5,29,70,true,false,14.2,29,9f981596,0.138,1.49,2,20.57,0
E_no_ideology_effects,renaissance,strategist,5,25,52,false,false,14,25,267a1850,0.32,1.27,3,0,2
F_no_delayed_consequences,renaissance,strategist,5,25,42,false,false,11.6,25,26b21ecd,0.2,0.83,2,8.63,4
A_baseline,renaissance,strategist,6,31,83,true,true,18.5,31,fb563c5b,0.161,1.64,6,13.23,5
B1_no_opportunistic_randomness,renaissance,strategist,6,31,73,true,true,15.5,31,4d1008ce,0.419,0.73,1,23.24,1
B2_no_rare_events,renaissance,strategist,6,31,79,true,true,16.1,31,5d803f58,0.161,1.59,1,9.78,0
C_no_narrative_memory,renaissance,strategist,6,31,78,true,true,15.3,31,7192be6f,0.065,1.81,1,18.77,0
E_no_ideology_effects,renaissance,strategist,6,31,77,true,true,17.2,31,c1ae19d7,0.323,1.46,1,0,3
F_no_delayed_consequences,renaissance,strategist,6,31,75,true,true,14.7,31,bf4aadfe,0.129,1.67,3,9.99,3
A_baseline,renaissance,strategist,7,31,78,true,true,16.7,31,6e92c0b4,0.129,1.82,4,12.61,3
B1_no_opportunistic_randomness,renaissance,strategist,7,31,81,true,true,17,31,86317baf,0.226,1.5,2,21.29,1
B2_no_rare_events,renaissance,strategist,7,31,73,true,true,13.5,31,2cf8a421,0.226,1.44,2,8.75,1
C_no_narrative_memory,renaissance,strategist,7,31,82,true,true,18.5,31,5a13ceb2,0.161,2.03,2,15.46,0
