partyId,n,meanMemorableSignals,shareWithAtLeast1Signal,shareWithAtLeast2Signals,shareWithAtLeast3Signals,meanActorMemoryEntries,meanAbruptReversals
lfi,180,4.1,1,0.983,0.9,2.26,0.36
ps,180,4.6,1,0.983,0.956,2.33,0.47
ecologistes,180,4.67,1,1,0.961,2.26,0.58
renaissance,180,3.19,0.983,0.928,0.683,2.04,0.37
horizons,180,3.34,0.989,0.961,0.8,2.63,0.23
lr,180,3.38,1,0.95,0.739,2.41,0.27
rn,180,4.28,1,0.989,0.944,2.63,0.39
reconquete,180,4.03,1,0.989,0.867,2.28,0.49
nouvelle_energie,180,3.21,1,0.922,0.7,2.13,0.32
