runKey,decisionIndex,kind,partyId,maxShockPoints,crossesActiveSetBoundary
lfi:prudent:149,17,withdrawal,reconquete,3.414,false
lfi:risque:3,20,withdrawal,reconquete,3.266,false
lfi:risque:12,15,withdrawal,reconquete,3.625,true
lfi:risque:14,16,strategic_withdrawal,reconquete,3.289,false
lfi:risque:18,15,withdrawal,reconquete,3.511,false
lfi:risque:21,15,strategic_withdrawal,reconquete,3.516,true
lfi:risque:23,19,withdrawal,reconquete,3.273,false
lfi:risque:27,16,strategic_withdrawal,reconquete,3.379,false
lfi:risque:31,15,strategic_withdrawal,reconquete,3.538,true
lfi:risque:37,14,withdrawal,reconquete,3.125,false
lfi:risque:40,16,withdrawal,reconquete,3.841,true
lfi:risque:43,14,strategic_withdrawal,reconquete,3.237,false
lfi:risque:45,20,strategic_withdrawal,reconquete,3.243,false
lfi:risque:47,17,strategic_withdrawal,reconquete,3.374,false
lfi:risque:48,22,withdrawal,reconquete,3.445,false
lfi:risque:50,17,strategic_withdrawal,ecologistes,7.844,false
lfi:risque:50,18,strategic_withdrawal,reconquete,3.395,false
lfi:risque:51,20,withdrawal,reconquete,3.344,false
lfi:risque:53,21,withdrawal,reconquete,3.526,false
lfi:risque:57,13,withdrawal,reconquete,3.803,false
lfi:risque:62,14,strategic_withdrawal,reconquete,3.879,false
lfi:risque:64,20,strategic_withdrawal,reconquete,3.365,false
lfi:risque:66,14,withdrawal,reconquete,3.685,false
lfi:risque:74,19,withdrawal,reconquete,3.655,false
lfi:risque:76,17,strategic_withdrawal,reconquete,3.55,false
lfi:risque:82,14,withdrawal,reconquete,3.131,false
lfi:risque:83,14,withdrawal,reconquete,3.491,false
lfi:risque:89,21,strategic_withdrawal,reconquete_dissidence_16,4.605,false
lfi:risque:90,21,withdrawal,ecologistes,6.577,false
lfi:risque:96,14,strategic_withdrawal,reconquete,3.582,false
lfi:risque:104,15,strategic_withdrawal,reconquete,3.78,true
lfi:risque:107,12,strategic_withdrawal,reconquete,3.505,false
lfi:risque:108,22,withdrawal,reconquete,3.643,false
lfi:risque:109,15,withdrawal,reconquete,3.337,true
lfi:risque:112,14,strategic_withdrawal,reconquete,3.809,false
lfi:risque:115,16,strategic_withdrawal,reconquete,3.421,false
lfi:risque:119,19,strategic_withdrawal,reconquete,3.747,false
lfi:risque:121,13,withdrawal,reconquete,3.667,false
lfi:risque:122,15,strategic_withdrawal,ecologistes,8.586,true
lfi:risque:125,14,withdrawal,reconquete,3.169,false
lfi:risque:127,21,strategic_withdrawal,reconquete,3.517,false
lfi:risque:128,21,strategic_withdrawal,reconquete,2.947,false
lfi:risque:129,16,withdrawal,reconquete,3.473,false
lfi:risque:133,14,withdrawal,reconquete,3.395,false
lfi:risque:134,14,withdrawal,reconquete,3.595,false
lfi:risque:136,14,strategic_withdrawal,reconquete,3.427,false
lfi:risque:137,20,strategic_withdrawal,reconquete,3.51,false
lfi:risque:140,19,withdrawal,reconquete,3.831,false
lfi:risque:143,15,strategic_withdrawal,reconquete,3.489,true
lfi:risque:146,15,withdrawal,reconquete,3.581,true
lfi:risque:147,13,withdrawal,reconquete,3.508,false
lfi:ideologiquement_coherent:0,15,withdrawal,reconquete,3.383,true
lfi:ideologiquement_coherent:6,23,withdrawal,reconquete,38.358,true
lfi:ideologiquement_coherent:7,13,strategic_withdrawal,reconquete,3.279,false
lfi:ideologiquement_coherent:8,14,withdrawal,reconquete,3.351,false
lfi:ideologiquement_coherent:9,16,strategic_withdrawal,reconquete,3.698,false
lfi:ideologiquement_coherent:10,15,withdrawal,reconquete,3.511,true
lfi:ideologiquement_coherent:11,17,withdrawal,reconquete,3.072,false
lfi:ideologiquement_coherent:13,19,withdrawal,reconquete,3.499,false
lfi:ideologiquement_coherent:17,23,withdrawal,reconquete,38.356,true
lfi:ideologiquement_coherent:18,18,strategic_withdrawal,reconquete,2.976,false
lfi:ideologiquement_coherent:19,20,withdrawal,reconquete,3.045,false
lfi:ideologiquement_coherent:20,16,withdrawal,lr,8.539,false
lfi:ideologiquement_coherent:20,18,withdrawal,reconquete,4.137,false
lfi:ideologiquement_coherent:23,20,withdrawal,reconquete,3.693,false
lfi:ideologiquement_coherent:24,14,strategic_withdrawal,reconquete,3.212,false
lfi:ideologiquement_coherent:28,22,withdrawal,reconquete,3.53,false
lfi:ideologiquement_coherent:29,16,strategic_withdrawal,reconquete,3.357,false
lfi:ideologiquement_coherent:33,17,strategic_withdrawal,reconquete,3.517,false
lfi:ideologiquement_coherent:35,13,strategic_withdrawal,ecologistes,9.084,false
lfi:ideologiquement_coherent:39,21,withdrawal,reconquete,3.265,false
lfi:ideologiquement_coherent:43,22,withdrawal,reconquete,3.135,false
lfi:ideologiquement_coherent:45,19,strategic_withdrawal,reconquete,3.439,false
lfi:ideologiquement_coherent:47,19,withdrawal,reconquete,3.215,false
lfi:ideologiquement_coherent:50,19,withdrawal,reconquete,4.298,false
lfi:ideologiquement_coherent:53,20,withdrawal,reconquete,3.169,false
lfi:ideologiquement_coherent:55,15,strategic_withdrawal,reconquete,3.45,true
lfi:ideologiquement_coherent:57,22,withdrawal,reconquete,3.268,false
lfi:ideologiquement_coherent:59,17,withdrawal,reconquete,3.403,false
lfi:ideologiquement_coherent:61,13,withdrawal,reconquete,3.274,false
lfi:ideologiquement_coherent:64,19,withdrawal,reconquete,3.502,false
lfi:ideologiquement_coherent:65,16,strategic_withdrawal,reconquete,3.641,true
lfi:ideologiquement_coherent:70,19,withdrawal,reconquete,3.649,false
lfi:ideologiquement_coherent:72,17,strategic_withdrawal,reconquete,3.526,false
lfi:ideologiquement_coherent:75,15,strategic_withdrawal,reconquete,3.503,true
lfi:ideologiquement_coherent:79,16,withdrawal,reconquete,3.951,false
lfi:ideologiquement_coherent:81,18,strategic_withdrawal,reconquete,3.326,false
lfi:ideologiquement_coherent:82,16,strategic_withdrawal,reconquete,3.566,false
lfi:ideologiquement_coherent:89,14,withdrawal,reconquete,3.89,false
lfi:ideologiquement_coherent:97,21,strategic_withdrawal,reconquete,3.295,false
lfi:ideologiquement_coherent:100,15,withdrawal,reconquete,3.602,true
lfi:ideologiquement_coherent:107,22,withdrawal,reconquete,2.91,false
lfi:ideologiquement_coherent:114,20,withdrawal,reconquete,3.392,false
lfi:ideologiquement_coherent:118,17,strategic_withdrawal,reconquete,2.999,false
lfi:ideologiquement_coherent:124,21,strategic_withdrawal,reconquete,3.319,false
lfi:ideologiquement_coherent:128,15,withdrawal,reconquete,3.943,true
lfi:ideologiquement_coherent:131,21,withdrawal,reconquete,3.026,false
lfi:ideologiquement_coherent:134,13,withdrawal,reconquete,3.656,false
lfi:ideologiquement_coherent:143,15,withdrawal,reconquete,3.086,true
lfi:ideologiquement_coherent:144,17,strategic_withdrawal,reconquete,3.023,false
lfi:ideologiquement_coherent:146,16,withdrawal,reconquete,3.665,false
lfi:ideologiquement_coherent:148,18,strategic_withdrawal,reconquete,3.396,false
lfi:opportuniste_electoral:5,19,strategic_withdrawal,reconquete,3.757,false
lfi:opportuniste_electoral:6,21,strategic_withdrawal,reconquete,3.267,false
lfi:opportuniste_electoral:7,17,withdrawal,reconquete,3.78,false
lfi:opportuniste_electoral:10,14,withdrawal,reconquete,3.851,false
lfi:opportuniste_electoral:11,23,withdrawal,reconquete,36.872,true
lfi:opportuniste_electoral:13,18,withdrawal,reconquete,3.03,false
lfi:opportuniste_electoral:18,20,withdrawal,reconquete,3.514,false
lfi:opportuniste_electoral:19,21,withdrawal,reconquete,3.421,false
lfi:opportuniste_electoral:20,17,withdrawal,reconquete,2.954,false
