runKey,decisionIndex,kind,partyId,releasedShare
lfi:risque:27,16,strategic_withdrawal,reconquete,3.379
lfi:risque:31,15,strategic_withdrawal,reconquete,3.538
lfi:risque:37,14,withdrawal,reconquete,3.125
lfi:risque:40,16,withdrawal,reconquete,3.841
lfi:risque:43,14,strategic_withdrawal,reconquete,3.237
lfi:risque:45,20,strategic_withdrawal,reconquete,3.243
lfi:risque:47,17,strategic_withdrawal,reconquete,3.374
lfi:risque:48,22,withdrawal,reconquete,3.445
lfi:risque:50,17,strategic_withdrawal,ecologistes,7.844
lfi:risque:50,18,strategic_withdrawal,reconquete,3.395
lfi:risque:51,20,withdrawal,reconquete,3.344
lfi:risque:53,21,withdrawal,reconquete,3.526
lfi:risque:57,13,withdrawal,reconquete,3.803
lfi:risque:62,14,strategic_withdrawal,reconquete,3.879
lfi:risque:64,20,strategic_withdrawal,reconquete,3.365
lfi:risque:66,14,withdrawal,reconquete,3.685
lfi:risque:74,19,withdrawal,reconquete,3.655
lfi:risque:76,17,strategic_withdrawal,reconquete,3.55
lfi:risque:82,14,withdrawal,reconquete,3.131
lfi:risque:83,14,withdrawal,reconquete,3.491
lfi:risque:89,21,strategic_withdrawal,reconquete_dissidence_16,4.605
lfi:risque:90,21,withdrawal,ecologistes,6.577
lfi:risque:96,14,strategic_withdrawal,reconquete,3.582
lfi:risque:104,15,strategic_withdrawal,reconquete,3.78
lfi:risque:107,12,strategic_withdrawal,reconquete,3.505
lfi:risque:108,22,withdrawal,reconquete,3.643
lfi:risque:109,15,withdrawal,reconquete,3.337
lfi:risque:112,14,strategic_withdrawal,reconquete,3.809
lfi:risque:115,16,strategic_withdrawal,reconquete,3.421
lfi:risque:119,19,strategic_withdrawal,reconquete,3.747
lfi:risque:121,13,withdrawal,reconquete,3.667
lfi:risque:122,15,strategic_withdrawal,ecologistes,8.586
lfi:risque:125,14,withdrawal,reconquete,3.169
lfi:risque:127,21,strategic_withdrawal,reconquete,3.517
lfi:risque:128,21,strategic_withdrawal,reconquete,2.947
lfi:risque:129,16,withdrawal,reconquete,3.473
lfi:risque:133,14,withdrawal,reconquete,3.395
lfi:risque:134,14,withdrawal,reconquete,3.595
lfi:risque:136,14,strategic_withdrawal,reconquete,3.427
lfi:risque:137,20,strategic_withdrawal,reconquete,3.51
lfi:risque:140,19,withdrawal,reconquete,3.831
lfi:risque:143,15,strategic_withdrawal,reconquete,3.489
lfi:risque:146,15,withdrawal,reconquete,3.581
lfi:risque:147,13,withdrawal,reconquete,3.508
lfi:ideologiquement_coherent:0,15,withdrawal,reconquete,3.383
lfi:ideologiquement_coherent:6,23,withdrawal,reconquete,3.545
lfi:ideologiquement_coherent:7,13,strategic_withdrawal,reconquete,3.279
lfi:ideologiquement_coherent:8,14,withdrawal,reconquete,3.351
lfi:ideologiquement_coherent:9,16,strategic_withdrawal,reconquete,3.698
lfi:ideologiquement_coherent:10,15,withdrawal,reconquete,3.511
lfi:ideologiquement_coherent:11,17,withdrawal,reconquete,3.072
lfi:ideologiquement_coherent:13,19,withdrawal,reconquete,3.499
lfi:ideologiquement_coherent:17,23,withdrawal,reconquete,3.33
lfi:ideologiquement_coherent:18,18,strategic_withdrawal,reconquete,2.976
lfi:ideologiquement_coherent:19,20,withdrawal,reconquete,3.045
lfi:ideologiquement_coherent:20,16,withdrawal,lr,8.539
lfi:ideologiquement_coherent:20,18,withdrawal,reconquete,4.137
lfi:ideologiquement_coherent:23,20,withdrawal,reconquete,3.693
lfi:ideologiquement_coherent:24,14,strategic_withdrawal,reconquete,3.212
lfi:ideologiquement_coherent:28,22,withdrawal,reconquete,3.53
lfi:ideologiquement_coherent:29,16,strategic_withdrawal,reconquete,3.357
lfi:ideologiquement_coherent:33,17,strategic_withdrawal,reconquete,3.517
lfi:ideologiquement_coherent:35,13,strategic_withdrawal,ecologistes,9.084
lfi:ideologiquement_coherent:39,21,withdrawal,reconquete,3.265
lfi:ideologiquement_coherent:43,22,withdrawal,reconquete,3.135
lfi:ideologiquement_coherent:45,19,strategic_withdrawal,reconquete,3.439
lfi:ideologiquement_coherent:47,19,withdrawal,reconquete,3.215
lfi:ideologiquement_coherent:50,19,withdrawal,reconquete,4.298
lfi:ideologiquement_coherent:53,20,withdrawal,reconquete,3.169
lfi:ideologiquement_coherent:55,15,strategic_withdrawal,reconquete,3.45
lfi:ideologiquement_coherent:57,22,withdrawal,reconquete,3.268
lfi:ideologiquement_coherent:59,17,withdrawal,reconquete,3.403
lfi:ideologiquement_coherent:61,13,withdrawal,reconquete,3.274
lfi:ideologiquement_coherent:64,19,withdrawal,reconquete,3.502
lfi:ideologiquement_coherent:65,16,strategic_withdrawal,reconquete,3.641
lfi:ideologiquement_coherent:70,19,withdrawal,reconquete,3.649
lfi:ideologiquement_coherent:72,17,strategic_withdrawal,reconquete,3.526
lfi:ideologiquement_coherent:75,15,strategic_withdrawal,reconquete,3.503
lfi:ideologiquement_coherent:79,16,withdrawal,reconquete,3.951
lfi:ideologiquement_coherent:81,18,strategic_withdrawal,reconquete,3.326
lfi:ideologiquement_coherent:82,16,strategic_withdrawal,reconquete,3.566
lfi:ideologiquement_coherent:89,14,withdrawal,reconquete,3.89
lfi:ideologiquement_coherent:97,21,strategic_withdrawal,reconquete,3.295
lfi:ideologiquement_coherent:100,15,withdrawal,reconquete,3.602
lfi:ideologiquement_coherent:107,22,withdrawal,reconquete,2.91
lfi:ideologiquement_coherent:114,20,withdrawal,reconquete,3.392
lfi:ideologiquement_coherent:118,17,strategic_withdrawal,reconquete,2.999
lfi:ideologiquement_coherent:124,21,strategic_withdrawal,reconquete,3.319
lfi:ideologiquement_coherent:128,15,withdrawal,reconquete,3.943
lfi:ideologiquement_coherent:131,21,withdrawal,reconquete,3.026
lfi:ideologiquement_coherent:134,13,withdrawal,reconquete,3.656
lfi:ideologiquement_coherent:143,15,withdrawal,reconquete,3.086
lfi:ideologiquement_coherent:144,17,strategic_withdrawal,reconquete,3.023
lfi:ideologiquement_coherent:146,16,withdrawal,reconquete,3.665
lfi:ideologiquement_coherent:148,18,strategic_withdrawal,reconquete,3.396
lfi:opportuniste_electoral:5,19,strategic_withdrawal,reconquete,3.757
lfi:opportuniste_electoral:6,21,strategic_withdrawal,reconquete,3.267
lfi:opportuniste_electoral:7,17,withdrawal,reconquete,3.78
lfi:opportuniste_electoral:10,14,withdrawal,reconquete,3.851
lfi:opportuniste_electoral:11,23,withdrawal,reconquete,3.163
lfi:opportuniste_electoral:13,18,withdrawal,reconquete,3.03
lfi:opportuniste_electoral:18,20,withdrawal,reconquete,3.514
lfi:opportuniste_electoral:19,21,withdrawal,reconquete,3.421
lfi:opportuniste_electoral:20,17,withdrawal,reconquete,2.954
lfi:opportuniste_electoral:24,21,strategic_withdrawal,reconquete_dissidence_18,4.403
lfi:opportuniste_electoral:26,16,strategic_withdrawal,reconquete,3.625
lfi:opportuniste_electoral:27,15,strategic_withdrawal,reconquete,3.405
lfi:opportuniste_electoral:33,21,strategic_withdrawal,reconquete,2.451
lfi:opportuniste_electoral:35,12,strategic_withdrawal,reconquete,3.467
lfi:opportuniste_electoral:37,16,withdrawal,reconquete,3.677
lfi:opportuniste_electoral:38,21,withdrawal,reconquete,3.051
lfi:opportuniste_electoral:42,18,withdrawal,reconquete,3.501
lfi:opportuniste_electoral:43,16,withdrawal,reconquete,3.557
lfi:opportuniste_electoral:48,15,strategic_withdrawal,reconquete,3.74
lfi:opportuniste_electoral:50,19,strategic_withdrawal,reconquete,3.205
lfi:opportuniste_electoral:54,13,strategic_withdrawal,reconquete,3.437
lfi:opportuniste_electoral:56,19,strategic_withdrawal,reconquete,3.659
lfi:opportuniste_electoral:63,15,withdrawal,reconquete,3.36
lfi:opportuniste_electoral:71,14,withdrawal,reconquete,3.503
lfi:opportuniste_electoral:73,22,withdrawal,reconquete,3.015
lfi:opportuniste_electoral:75,16,strategic_withdrawal,reconquete,3.538
lfi:opportuniste_electoral:76,11,strategic_withdrawal,reconquete,3.37
lfi:opportuniste_electoral:77,21,strategic_withdrawal,reconquete,3.648
lfi:opportuniste_electoral:78,17,withdrawal,reconquete,3.098
lfi:opportuniste_electoral:80,20,withdrawal,reconquete,3.175
lfi:opportuniste_electoral:82,16,strategic_withdrawal,reconquete,3.797
lfi:opportuniste_electoral:85,19,withdrawal,reconquete,3.259
lfi:opportuniste_electoral:92,19,withdrawal,reconquete,3.13
lfi:opportuniste_electoral:97,13,withdrawal,reconquete,3.672
lfi:opportuniste_electoral:98,21,withdrawal,reconquete,3.223
lfi:opportuniste_electoral:99,15,withdrawal,reconquete,3.589
lfi:opportuniste_electoral:100,23,withdrawal,reconquete,2.134
lfi:opportuniste_electoral:103,17,withdrawal,reconquete,3.668
lfi:opportuniste_electoral:105,16,withdrawal,reconquete,2.478
lfi:opportuniste_electoral:109,15,withdrawal,reconquete,4.207
lfi:opportuniste_electoral:110,23,withdrawal,reconquete,3.845
lfi:opportuniste_electoral:111,13,strategic_withdrawal,reconquete,3.708
lfi:opportuniste_electoral:112,23,withdrawal,reconquete,3.12
lfi:opportuniste_electoral:122,18,withdrawal,reconquete,3.462
lfi:opportuniste_electoral:123,16,withdrawal,reconquete,3.505
lfi:opportuniste_electoral:126,21,withdrawal,reconquete,2.959
lfi:opportuniste_electoral:127,18,withdrawal,reconquete,3.114
lfi:opportuniste_electoral:133,13,withdrawal,reconquete,3.759
lfi:opportuniste_electoral:134,16,withdrawal,reconquete_dissidence_16,0
lfi:opportuniste_electoral:135,15,withdrawal,reconquete,3.638
lfi:opportuniste_electoral:139,20,withdrawal,reconquete,3.266
lfi:opportuniste_electoral:146,12,strategic_withdrawal,reconquete,3.651
lfi:parti_dabord:1,19,withdrawal,reconquete,3.264
lfi:parti_dabord:2,19,strategic_withdrawal,reconquete,3.18
lfi:parti_dabord:8,17,strategic_withdrawal,reconquete,3.243
lfi:parti_dabord:10,19,withdrawal,reconquete,3.377
lfi:parti_dabord:12,17,withdrawal,reconquete,3.626
lfi:parti_dabord:13,18,strategic_withdrawal,reconquete,3.279
lfi:parti_dabord:18,14,strategic_withdrawal,reconquete,3.646
lfi:parti_dabord:19,13,withdrawal,reconquete,3.177
lfi:parti_dabord:22,20,withdrawal,reconquete,3.425
lfi:parti_dabord:23,17,withdrawal,reconquete,3.015
lfi:parti_dabord:25,15,strategic_withdrawal,reconquete,3.76
lfi:parti_dabord:29,18,strategic_withdrawal,reconquete,3.227
lfi:parti_dabord:37,20,withdrawal,reconquete,3.429
lfi:parti_dabord:37,21,withdrawal,rn,12.378
lfi:parti_dabord:39,20,withdrawal,reconquete,3.179
lfi:parti_dabord:40,20,strategic_withdrawal,reconquete,3.008
lfi:parti_dabord:46,14,strategic_withdrawal,reconquete,3.41
lfi:parti_dabord:47,18,withdrawal,reconquete,2.885
lfi:parti_dabord:48,13,withdrawal,reconquete,3.579
lfi:parti_dabord:50,13,withdrawal,reconquete,3.777
lfi:parti_dabord:52,23,withdrawal,ps,10.605
lfi:parti_dabord:53,18,strategic_withdrawal,reconquete,3.675
lfi:parti_dabord:70,15,withdrawal,reconquete,4.053
lfi:parti_dabord:70,21,withdrawal,rn,12.382
lfi:parti_dabord:71,21,strategic_withdrawal,reconquete,3.294
lfi:parti_dabord:76,15,strategic_withdrawal,reconquete,3.442
lfi:parti_dabord:77,23,withdrawal,reconquete,3.045
lfi:parti_dabord:83,15,withdrawal,reconquete,3.966
lfi:parti_dabord:87,13,withdrawal,reconquete,3.578
lfi:parti_dabord:91,18,strategic_withdrawal,reconquete,2.88
lfi:parti_dabord:92,15,strategic_withdrawal,reconquete,3.41
lfi:parti_dabord:93,11,strategic_withdrawal,reconquete,3.848
lfi:parti_dabord:98,23,withdrawal,reconquete,3.478
lfi:parti_dabord:101,21,strategic_withdrawal,reconquete,3.099
lfi:parti_dabord:104,18,strategic_withdrawal,reconquete,3.496
lfi:parti_dabord:106,19,withdrawal,reconquete,3.582
lfi:parti_dabord:108,16,strategic_withdrawal,reconquete,3.563
lfi:parti_dabord:111,23,withdrawal,reconquete,3.542
lfi:parti_dabord:112,18,withdrawal,reconquete,3.75
lfi:parti_dabord:113,11,strategic_withdrawal,reconquete,3.634
lfi:parti_dabord:114,13,withdrawal,reconquete,3.548
lfi:parti_dabord:117,14,withdrawal,reconquete,3.46
lfi:parti_dabord:121,17,withdrawal,reconquete,3.377
lfi:parti_dabord:122,18,strategic_withdrawal,reconquete,4.162
lfi:parti_dabord:123,12,strategic_withdrawal,reconquete,3.462
lfi:parti_dabord:124,15,withdrawal,reconquete,3.917
lfi:parti_dabord:126,20,withdrawal,reconquete,3.18
lfi:parti_dabord:134,14,strategic_withdrawal,ecologistes,8.3
lfi:parti_dabord:134,21,strategic_withdrawal,reconquete,2.803
lfi:parti_dabord:139,19,strategic_withdrawal,reconquete,3.346
lfi:parti_dabord:142,20,strategic_withdrawal,reconquete,3.181
lfi:parti_dabord:144,15,withdrawal,rn,12.541
lfi:parti_dabord:145,20,strategic_withdrawal,reconquete,3.687
lfi:parti_dabord:149,17,strategic_withdrawal,reconquete,3.491
lfi:mediatique:0,17,withdrawal,reconquete,3.83
lfi:mediatique:1,18,strategic_withdrawal,ecologistes,8.729
lfi:mediatique:2,14,strategic_withdrawal,reconquete,4.096
lfi:mediatique:7,16,withdrawal,reconquete,3.74
lfi:mediatique:9,13,withdrawal,reconquete,3.441
lfi:mediatique:10,15,withdrawal,reconquete,3.828
lfi:mediatique:11,15,withdrawal,reconquete,3.186
lfi:mediatique:14,22,withdrawal,reconquete,3.628
lfi:mediatique:15,18,withdrawal,reconquete,3.096
lfi:mediatique:19,21,withdrawal,reconquete,3.786
lfi:mediatique:22,19,withdrawal,reconquete,3.592
lfi:mediatique:23,17,withdrawal,reconquete,2.909
lfi:mediatique:24,16,withdrawal,reconquete,3.159
lfi:mediatique:27,18,withdrawal,reconquete,3.695
lfi:mediatique:30,21,withdrawal,reconquete,3.541
lfi:mediatique:32,17,strategic_withdrawal,reconquete,3.605
lfi:mediatique:33,19,withdrawal,reconquete,3.601
lfi:mediatique:37,13,withdrawal,reconquete,3.792
lfi:mediatique:38,20,withdrawal,reconquete,2.878
lfi:mediatique:39,20,strategic_withdrawal,reconquete,3.576
lfi:mediatique:40,19,strategic_withdrawal,reconquete,3.51
lfi:mediatique:45,17,strategic_withdrawal,reconquete,3.648
lfi:mediatique:48,20,withdrawal,reconquete,3.367
