partyId,n,qualificationRate,victoryRate,victoryGivenQualifiedRate,scoreStddevAcrossProfiles,funImmediat,profondeur,rejouabilite,identite,agence,tension,varieteStrategique,satisfactionVictoire,interetDefaite,funScore100
ecologistes,180,0.656,0.522,0.797,11.59,8.9,9.9,3,3.3,10,9.9,10,8.5,9.6,78.1
lfi,180,0.778,0.556,0.714,10.71,6.3,7.4,7,2.8,8.6,9.2,8,6.8,7,68.6
nouvelle_energie,180,0.761,0.706,0.927,7.4,7.2,7,5.6,4.1,3.3,8.7,4.5,7,2.5,67.8
reconquete,180,0.283,0.111,0.392,8.97,6.8,3.7,10,6.8,5.8,3.7,6.2,6.3,6.8,61
lr,180,0.5,0.378,0.756,7.3,5.8,4.2,3.7,4.5,3.2,9.9,4.5,9.3,5.3,60.6
rn,180,0.961,0.428,0.445,7.24,8.9,5.8,2.7,3.1,3,3.7,4.5,4.2,9.8,58.7
ps,180,0.8,0.639,0.799,10.75,6.7,7.9,2,2,8.7,8,8.8,6.5,10,57.6
renaissance,180,0.683,0.556,0.813,9.6,3.6,5.4,7.4,4.7,6.8,8.3,6.2,8.1,3.9,56.9
horizons,180,0.783,0.633,0.809,6.58,2.1,3.4,8.5,6,2,7,2,6.7,5.8,49.3
