campaignDecile,n,meanIntensity,meanAbsPollDelta,rankChangeRate
0,4055,3.615,0.85,0.4609
1,4357,3.805,1.27,0.4962
2,4860,3.966,1.026,0.3879
3,4357,4.184,0.968,0.294
4,4860,4.165,0.746,0.2259
5,4357,4.305,1.177,0.2447
6,4860,4.221,1.157,0.2315
7,4357,4.28,0.286,0.0815
8,4860,4.986,0.505,0.1461
9,5675,4.909,0.832,0.1204
