partyId,n,shareWithAtLeastOneReversal,shareWithMultipleReversals,shareWithNoReversal,comebackRate,collapseRate
ALL,1620,0.865,0.733,0.135,0.06,0.007
lfi,180,0.989,0.861,0.011,0.1,0
ps,180,0.906,0.794,0.094,0.078,0.022
ecologistes,180,0.989,0.856,0.011,0.033,0.006
renaissance,180,0.956,0.75,0.044,0.022,0
horizons,180,0.889,0.772,0.111,0.072,0.006
lr,180,1,0.85,0,0.039,0.022
rn,180,0.661,0.478,0.339,0.056,0.006
reconquete,180,0.4,0.333,0.6,0.1,0.006
nouvelle_energie,180,1,0.9,0,0.039,0
