runKey,decisionIndex,date,playerPolling,playerRank,playerTrend
lfi:aleatoire:3,11,2026-09-11,12.631,2,0.23
lfi:aleatoire:3,12,2026-09-27,12.2,2,-0.43
lfi:aleatoire:3,13,2026-10-11,12.937,1,0.74
lfi:aleatoire:3,14,2026-10-30,12.887,2,-0.05
lfi:aleatoire:3,15,2026-11-16,12.971,1,0.08
lfi:aleatoire:3,16,2026-12-01,15.9,1,2.93
lfi:aleatoire:3,17,2026-12-19,13.435,1,-2.46
lfi:aleatoire:3,18,2027-01-05,13.869,1,0.43
lfi:aleatoire:3,19,2027-01-25,14.104,1,0.23
lfi:aleatoire:3,20,2027-02-13,12.3,2,-1.8
lfi:aleatoire:3,21,2027-03-03,14.479,1,2.18
lfi:aleatoire:3,22,2027-03-17,14.554,1,0.08
lfi:aleatoire:3,23,2027-04-02,14.694,1,0.14
lfi:aleatoire:3,24,2027-04-17,14.863,1,0.17
lfi:aleatoire:3,25,2027-04-18,14.998,1,0.13
lfi:aleatoire:3,26,2027-04-20,14.976,1,-0.02
lfi:aleatoire:3,27,2027-04-22,15.014,1,0.04
lfi:aleatoire:3,28,2027-04-24,19.7,1,4.69
lfi:aleatoire:3,29,2027-04-26,15.252,1,-4.45
lfi:prudent:0,1,2026-04-18,11.83,3,-1.87
lfi:prudent:0,2,2026-05-02,12.068,3,0.24
lfi:prudent:0,3,2026-05-16,12.436,2,0.37
lfi:prudent:0,4,2026-06-03,12.3,2,-0.14
lfi:prudent:0,5,2026-06-15,12.959,1,0.66
lfi:prudent:0,6,2026-07-01,13.169,1,0.21
lfi:prudent:0,7,2026-07-14,13.398,1,0.23
lfi:prudent:0,8,2026-07-27,16.5,1,3.1
lfi:prudent:0,9,2026-08-11,12.861,1,-3.64
lfi:prudent:0,10,2026-08-24,13.259,1,0.4
lfi:prudent:0,11,2026-09-06,13.394,1,0.13
lfi:prudent:0,12,2026-09-24,15.5,1,2.11
lfi:prudent:0,13,2026-10-12,13.565,1,-1.94
lfi:prudent:0,14,2026-10-27,13.624,1,0.06
lfi:prudent:0,15,2026-11-11,13.728,1,0.1
lfi:prudent:0,16,2026-11-25,17.5,1,3.77
lfi:prudent:0,17,2026-12-11,13.916,1,-3.58
lfi:prudent:0,18,2027-01-01,14.162,1,0.25
lfi:prudent:0,19,2027-01-17,14.416,1,0.25
lfi:prudent:0,20,2027-02-02,15.4,1,0.98
lfi:prudent:0,21,2027-02-23,14.691,1,-0.71
lfi:prudent:0,22,2027-03-16,14.671,1,-0.02
lfi:prudent:0,23,2027-03-31,14.827,1,0.16
lfi:prudent:0,24,2027-04-17,14.943,1,0.12
lfi:prudent:0,25,2027-04-18,15.034,1,0.09
lfi:prudent:0,26,2027-04-20,15.242,1,0.21
lfi:prudent:0,27,2027-04-22,15.386,1,0.14
lfi:prudent:0,28,2027-04-24,13,1,-2.39
lfi:prudent:0,29,2027-04-26,15.504,1,2.5
lfi:prudent:0,30,2027-05-02,15.289,1,-0.21
lfi:prudent:0,31,2027-05-03,15.221,1,-0.07
lfi:prudent:1,1,2026-04-18,12.028,3,2.53
lfi:prudent:1,2,2026-04-30,12.347,3,0.32
lfi:prudent:1,3,2026-05-18,12.648,2,0.3
lfi:prudent:1,4,2026-06-03,13.2,1,0.55
lfi:prudent:1,5,2026-06-20,12.925,2,-0.27
lfi:prudent:1,6,2026-07-02,12.969,2,0.04
lfi:prudent:1,7,2026-07-18,13.191,1,0.22
lfi:prudent:1,8,2026-08-03,14.1,1,0.91
lfi:prudent:1,9,2026-08-16,13.485,1,-0.62
lfi:prudent:1,10,2026-08-30,13.682,1,0.2
lfi:prudent:1,11,2026-09-13,13.818,1,0.14
lfi:prudent:1,12,2026-09-29,11.3,4,-2.52
lfi:prudent:1,13,2026-10-13,14.146,1,2.85
lfi:prudent:1,14,2026-11-02,14.406,1,0.26
lfi:prudent:1,15,2026-11-20,14.654,1,0.25
lfi:prudent:1,16,2026-12-07,12.2,2,-2.45
lfi:prudent:1,17,2026-12-20,15.079,1,2.88
lfi:prudent:1,18,2027-01-08,15.368,1,0.29
lfi:prudent:1,19,2027-01-26,15.642,1,0.27
lfi:prudent:1,20,2027-02-12,12.5,2,-3.14
lfi:prudent:1,21,2027-03-02,15.988,1,3.49
lfi:prudent:1,22,2027-03-15,16.133,1,0.14
lfi:prudent:1,23,2027-03-30,16.246,1,0.11
lfi:prudent:1,24,2027-04-17,16.313,1,0.07
lfi:prudent:1,25,2027-04-18,16.375,1,0.06
lfi:prudent:1,26,2027-04-20,16.479,1,0.1
lfi:prudent:1,27,2027-04-22,16.574,1,0.1
lfi:prudent:1,28,2027-04-24,14.2,1,-2.37
lfi:prudent:1,29,2027-04-26,16.6,1,2.4
lfi:prudent:1,30,2027-05-02,16.317,1,-0.28
lfi:prudent:1,31,2027-05-03,16.277,1,-0.04
lfi:prudent:2,1,2026-04-18,11.821,3,2.92
lfi:prudent:2,2,2026-05-03,12.024,3,0.2
lfi:prudent:2,3,2026-05-16,11.979,3,-0.04
lfi:prudent:2,4,2026-06-01,12.2,3,0.22
lfi:prudent:2,5,2026-06-20,12.484,2,0.28
lfi:prudent:2,6,2026-07-06,12.678,2,0.19
lfi:prudent:2,7,2026-07-23,12.774,1,0.1
lfi:prudent:2,8,2026-08-08,12.6,2,-0.17
lfi:prudent:2,9,2026-08-23,13.45,1,0.85
lfi:prudent:2,10,2026-09-09,13.533,1,0.08
lfi:prudent:2,11,2026-09-25,13.589,1,0.06
lfi:prudent:2,12,2026-10-07,10.1,7,-3.49
lfi:prudent:2,13,2026-10-22,14.185,1,4.09
lfi:prudent:2,14,2026-11-08,14.301,1,0.12
lfi:prudent:2,15,2026-11-27,14.408,1,0.11
lfi:prudent:2,16,2026-12-14,14.4,1,-0.01
lfi:prudent:2,17,2026-12-30,14.784,1,0.38
lfi:prudent:2,18,2027-01-17,15.016,1,0.23
lfi:prudent:2,19,2027-02-02,15.229,1,0.21
lfi:prudent:2,20,2027-02-19,13.6,1,-1.63
lfi:prudent:2,21,2027-03-03,15.487,1,1.89
lfi:prudent:2,22,2027-03-19,15.613,1,0.13
lfi:prudent:2,23,2027-04-06,15.142,1,-0.47
lfi:prudent:2,24,2027-04-17,14.88,1,-0.26
lfi:prudent:2,25,2027-04-18,14.908,1,0.03
lfi:prudent:2,26,2027-04-20,15.044,1,0.14
lfi:prudent:2,27,2027-04-22,15.147,1,0.1
lfi:prudent:2,28,2027-04-24,14,1,-1.15
lfi:prudent:2,29,2027-04-26,15.533,1,1.53
lfi:prudent:3,1,2026-04-18,11.724,4,1.12
lfi:prudent:3,2,2026-05-04,11.829,3,0.11
lfi:prudent:3,3,2026-05-17,11.994,3,0.16
lfi:prudent:3,4,2026-05-31,11.7,4,-0.29
lfi:prudent:3,5,2026-06-16,12.003,3,0.3
lfi:prudent:3,6,2026-07-02,12.265,3,0.26
lfi:prudent:3,7,2026-07-15,12.585,2,0.32
lfi:prudent:3,8,2026-07-31,10.3,7,-2.29
lfi:prudent:3,9,2026-08-15,12.371,2,2.07
lfi:prudent:3,10,2026-08-28,12.397,2,0.03
lfi:prudent:3,11,2026-09-11,12.611,2,0.21
lfi:prudent:3,12,2026-09-27,12.2,2,-0.41
lfi:prudent:3,13,2026-10-11,12.886,1,0.69
lfi:prudent:3,14,2026-10-30,13.077,1,0.19
lfi:prudent:3,15,2026-11-16,13.231,1,0.15
lfi:prudent:3,16,2026-12-01,14.1,1,0.87
lfi:prudent:3,17,2026-12-17,13.778,1,-0.32
lfi:prudent:3,18,2027-01-02,14.329,1,0.55
lfi:prudent:3,19,2027-01-21,14.759,1,0.43
lfi:prudent:3,20,2027-02-10,12.3,2,-2.46
lfi:prudent:3,21,2027-02-28,15.24,1,2.94
lfi:prudent:3,22,2027-03-15,15.235,1,-0.01
lfi:prudent:3,23,2027-04-01,15.279,1,0.04
lfi:prudent:3,24,2027-04-17,15.276,1,0
lfi:prudent:3,25,2027-04-18,15.393,1,0.12
lfi:prudent:3,26,2027-04-20,15.639,1,0.25
lfi:prudent:3,27,2027-04-22,15.736,1,0.1
lfi:prudent:3,28,2027-04-24,20.3,1,4.56
lfi:prudent:3,29,2027-04-26,15.924,1,-4.38
lfi:risque:0,1,2026-04-18,11.83,3,-1.87
lfi:risque:0,2,2026-05-02,12.068,3,0.24
lfi:risque:0,3,2026-05-16,12.072,3,0
lfi:risque:0,4,2026-06-03,12,3,-0.07
lfi:risque:0,5,2026-06-15,12.435,2,0.44
lfi:risque:0,6,2026-07-01,12.748,2,0.31
lfi:risque:0,7,2026-07-14,13.014,1,0.27
lfi:risque:0,8,2026-07-27,16.5,1,3.49
lfi:risque:0,9,2026-08-11,13.091,1,-3.41
lfi:risque:0,10,2026-08-24,13.54,1,0.45
lfi:risque:0,11,2026-09-06,13.701,1,0.16
lfi:risque:0,12,2026-09-24,15.8,1,2.1
lfi:risque:0,13,2026-10-12,13.957,1,-1.84
lfi:risque:0,14,2026-10-27,14.202,1,0.24
lfi:risque:0,15,2026-11-11,14.115,1,-0.09
lfi:risque:0,16,2026-11-25,17.9,1,3.78
lfi:risque:0,17,2026-12-11,14.12,1,-3.78
lfi:risque:0,18,2027-01-01,14.395,1,0.28
lfi:risque:0,19,2027-01-17,14.745,1,0.35
lfi:risque:0,20,2027-02-02,15.8,1,1.06
lfi:risque:0,21,2027-02-23,15.061,1,-0.74
lfi:risque:0,22,2027-03-16,15.257,1,0.2
lfi:risque:0,23,2027-03-31,15.519,1,0.26
lfi:risque:0,24,2027-04-17,15.655,1,0.14
lfi:risque:0,25,2027-04-18,15.813,1,0.16
lfi:risque:0,26,2027-04-20,15.727,1,-0.09
lfi:risque:0,27,2027-04-22,15.543,1,-0.18
lfi:risque:0,28,2027-04-24,13.3,1,-2.24
lfi:risque:0,29,2027-04-26,15.46,1,2.16
lfi:risque:0,30,2027-05-02,15.382,1,-0.08
lfi:risque:0,31,2027-05-03,15.412,1,0.03
lfi:risque:1,1,2026-04-18,12.028,3,2.53
lfi:risque:1,2,2026-04-30,12.347,3,0.32
lfi:risque:1,3,2026-05-18,12.648,2,0.3
lfi:risque:1,4,2026-06-03,13.4,1,0.75
lfi:risque:1,5,2026-06-20,13.375,1,-0.03
lfi:risque:1,6,2026-07-02,13.623,1,0.25
lfi:risque:1,7,2026-07-18,13.907,1,0.28
lfi:risque:1,8,2026-08-03,14.6,1,0.69
lfi:risque:1,9,2026-08-16,14.374,1,-0.23
lfi:risque:1,10,2026-08-30,14.54,1,0.17
lfi:risque:1,11,2026-09-13,14.726,1,0.19
lfi:risque:1,12,2026-09-29,12.1,3,-2.63
lfi:risque:1,13,2026-10-13,15.032,1,2.93
lfi:risque:1,14,2026-11-02,14.896,1,-0.14
lfi:risque:1,15,2026-11-20,15.045,1,0.15
lfi:risque:1,16,2026-12-07,12.6,1,-2.45
lfi:risque:1,17,2026-12-20,15.175,1,2.58
lfi:risque:1,18,2027-01-08,15.413,1,0.24
lfi:risque:1,19,2027-01-26,15.464,1,0.05
lfi:risque:1,20,2027-02-12,12.3,3,-3.16
lfi:risque:1,21,2027-03-02,15.542,1,3.24
lfi:risque:1,22,2027-03-15,15.714,1,0.17
lfi:risque:1,23,2027-03-30,15.874,1,0.16
lfi:risque:1,24,2027-04-17,15.753,1,-0.12
lfi:risque:1,25,2027-04-18,15.772,1,0.02
lfi:risque:1,26,2027-04-20,15.896,1,0.12
lfi:risque:1,27,2027-04-22,15.795,1,-0.1
lfi:risque:1,28,2027-04-24,13.6,1,-2.2
lfi:risque:1,29,2027-04-26,15.786,1,2.19
lfi:risque:1,30,2027-05-02,15.651,1,-0.13
lfi:risque:1,31,2027-05-03,15.803,1,0.15
lfi:risque:2,1,2026-04-18,11.821,3,2.92
lfi:risque:2,2,2026-05-03,11.935,3,0.11
lfi:risque:2,3,2026-05-16,12.036,3,0.1
lfi:risque:2,4,2026-06-01,12.3,2,0.26
lfi:risque:2,5,2026-06-20,12.605,2,0.3
lfi:risque:2,6,2026-07-06,12.813,1,0.21
lfi:risque:2,7,2026-07-23,12.784,1,-0.03
lfi:risque:2,8,2026-08-08,12.6,2,-0.18
lfi:risque:2,9,2026-08-23,13.331,1,0.73
lfi:risque:2,10,2026-09-09,13.313,1,-0.02
lfi:risque:2,11,2026-09-25,13.418,1,0.1
lfi:risque:2,12,2026-10-13,9.9,8,-3.52
lfi:risque:2,13,2026-10-27,13.421,1,3.52
lfi:risque:2,14,2026-11-12,13.42,1,0
lfi:risque:2,15,2026-11-30,13.404,1,-0.02
lfi:risque:2,16,2026-12-17,13.2,1,-0.2
lfi:risque:2,17,2027-01-02,13.328,1,0.13
lfi:risque:2,18,2027-01-14,13.734,1,0.41
lfi:risque:2,19,2027-01-29,13.985,1,0.25
lfi:risque:2,20,2027-02-12,13.7,1,-0.29
lfi:risque:2,21,2027-02-28,14.377,1,0.68
lfi:risque:2,22,2027-03-17,14.594,1,0.22
lfi:risque:2,23,2027-04-05,14.769,1,0.18
lfi:risque:2,24,2027-04-17,15.089,1,0.32
