runKey,decisionIndex,playerPolling,playerRank
lfi:aleatoire:1,8,13.9,1
lfi:aleatoire:1,9,13.312,1
lfi:aleatoire:1,10,13.316,1
lfi:aleatoire:1,11,13.476,1
lfi:aleatoire:1,12,11,5
lfi:aleatoire:1,13,13.816,1
lfi:aleatoire:1,14,13.922,1
lfi:aleatoire:1,15,14.127,1
lfi:aleatoire:1,16,11.6,3
lfi:aleatoire:1,17,14.524,1
lfi:aleatoire:1,18,14.464,1
lfi:aleatoire:1,19,14.397,1
lfi:aleatoire:1,20,11.2,3
lfi:aleatoire:1,21,14.618,1
lfi:aleatoire:1,22,14.567,1
lfi:aleatoire:1,23,14.604,1
lfi:aleatoire:1,24,14.816,1
lfi:aleatoire:1,25,14.891,1
lfi:aleatoire:1,26,14.915,1
lfi:aleatoire:1,27,15.034,1
lfi:aleatoire:1,28,16.5,1
lfi:aleatoire:1,29,15.212,1
lfi:aleatoire:1,30,14.975,1
lfi:aleatoire:1,31,15.007,1
lfi:aleatoire:2,1,11.63,5
lfi:aleatoire:2,2,11.678,5
lfi:aleatoire:2,3,11.727,5
lfi:aleatoire:2,4,12,3
lfi:aleatoire:2,5,12.17,3
lfi:aleatoire:2,6,12.353,2
lfi:aleatoire:2,7,12.316,2
lfi:aleatoire:2,8,12,4
lfi:aleatoire:2,9,12.466,2
lfi:aleatoire:2,10,12.443,2
lfi:aleatoire:2,11,12.428,2
lfi:aleatoire:2,12,12.2,2
lfi:aleatoire:2,13,12.543,2
lfi:aleatoire:2,14,12.682,2
lfi:aleatoire:2,15,12.739,2
lfi:aleatoire:2,16,13.8,1
lfi:aleatoire:2,17,13.087,1
lfi:aleatoire:2,18,12.941,2
lfi:aleatoire:2,19,12.872,2
lfi:aleatoire:2,20,11.5,3
lfi:aleatoire:2,21,12.971,2
lfi:aleatoire:2,22,13.012,2
lfi:aleatoire:2,23,13.179,2
lfi:aleatoire:2,24,13.263,1
lfi:aleatoire:2,25,13.501,1
lfi:aleatoire:2,26,13.475,1
lfi:aleatoire:2,27,13.57,1
lfi:aleatoire:2,28,12.3,3
lfi:aleatoire:2,29,14.346,1
lfi:aleatoire:3,1,11.574,4
lfi:aleatoire:3,2,11.627,4
lfi:aleatoire:3,3,11.768,4
lfi:aleatoire:3,4,11.5,5
lfi:aleatoire:3,5,11.767,3
lfi:aleatoire:3,6,12.029,3
lfi:aleatoire:3,7,12.351,3
lfi:aleatoire:3,8,10.2,8
lfi:aleatoire:3,9,12.339,2
lfi:aleatoire:3,10,12.404,2
lfi:aleatoire:3,11,12.631,2
lfi:aleatoire:3,12,12.2,2
lfi:aleatoire:3,13,12.937,1
lfi:aleatoire:3,14,12.887,2
lfi:aleatoire:3,15,12.971,1
lfi:aleatoire:3,16,15.9,1
lfi:aleatoire:3,17,13.435,1
lfi:aleatoire:3,18,13.869,1
lfi:aleatoire:3,19,14.104,1
lfi:aleatoire:3,20,12.3,2
