margin_d0,margin_d0.25,margin_d0.4,margin_d0.5,margin_d0.62,margin_d0.75,margin_d1,runKey,agent,finalistLeft,finalistRight,r1ScoreLeft,r1ScoreRight,r1Margin,r2ScoreLeft,r2ScoreRight,r2Margin,r2Winner,favoriteAtR1,favoriteWonR2,playerIsFinalist,playerWon,turnout,detLeftAt62,detRightAt62,detMarginAt62,detMarginAt100,detMarginAt0,retainedShareLeft,retainedShareRight,transferredShareLeft,transferredShareRight,dampingContributionToMargin
8.42,9.6,10.32,10.8,11.36,11.98,13.16,lfi:aleatoire:21,aleatoire,lfi,rn,21.1,15.1,6,50,50,0,lfi,lfi,true,true,true,71.3,55.68,44.32,11.36,13.16,8.42,59,41,19.74,17.68,1.8
2.7,3.38,3.78,4.06,4.38,4.74,5.4,lfi:aleatoire:22,aleatoire,lfi,renaissance,17.5,15.9,1.6,56.1,43.9,12.2,lfi,lfi,true,true,true,71.5,52.19,47.81,4.38,5.4,2.7,53.3,46.7,22.01,20.79,1.02
8.44,7.24,6.52,6.02,5.44,4.82,3.6,lfi:aleatoire:23,aleatoire,lfi,horizons,21.2,14.7,6.5,54.9,45.1,9.8,lfi,lfi,true,true,true,71.7,52.72,47.28,5.44,3.6,8.44,59.9,40.1,20.79,23.08,-1.84
5.24,4.08,3.4,2.94,2.38,1.78,0.64,lfi:aleatoire:24,aleatoire,lfi,nouvelle_energie,18.7,14.7,4,51.3,48.7,2.6,lfi,lfi,true,true,true,72.2,51.19,48.81,2.38,0.64,5.24,56.7,43.3,22.45,24.66,-1.74
8.2,6.68,5.76,5.14,4.4,3.6,2.08,lfi:aleatoire:25,aleatoire,lfi,nouvelle_energie,20.1,13.6,6.5,46.1,53.9,7.8,nouvelle_energie,lfi,false,true,false,72,52.2,47.8,4.4,2.08,8.2,60.3,39.7,21.78,24.71,-2.32
1.38,2.54,3.24,3.7,4.26,4.88,6.04,lfi:aleatoire:26,aleatoire,ps,lfi,15.3,13.9,1.4,57.3,42.7,14.6,ps,ps,true,true,false,70.5,52.13,47.87,4.26,6.04,1.38,51.7,48.3,21.11,19.18,1.78
7.64,7.3,7.1,6.96,6.8,6.62,6.3,lfi:aleatoire:27,aleatoire,lfi,ps,20,14.8,5.2,55.1,44.9,10.2,lfi,lfi,true,true,true,71,53.4,46.6,6.8,6.3,7.64,58.3,41.7,18.36,18.94,-0.5
6.42,8.72,10.1,11.02,12.12,13.32,15.64,lfi:aleatoire:28,aleatoire,lfi,rn,17.2,12.7,4.5,52,48,4,lfi,lfi,true,true,true,71.2,56.06,43.94,12.12,15.64,6.42,58.2,41.8,22.99,19.04,3.52
8.84,12.66,14.94,16.46,18.3,20.28,24.1,lfi:aleatoire:29,aleatoire,lfi,rn,20.9,14.3,6.6,58.6,41.4,17.2,lfi,lfi,true,true,true,71.6,59.15,40.85,18.3,24.1,8.84,59.9,40.1,23.23,16.44,5.8
11.18,10.9,10.74,10.62,10.5,10.34,10.06,lfi:aleatoire:30,aleatoire,lfi,ps,21.4,13.3,8.1,54.5,45.5,9,lfi,lfi,true,true,true,71,55.25,44.75,10.5,10.06,11.18,62.4,37.6,18.92,19.41,-0.44
3.52,3.18,2.98,2.84,2.68,2.5,2.16,lfi:aleatoire:31,aleatoire,lfi,lr,17.9,15.3,2.6,54.2,45.8,8.4,lfi,lfi,true,true,true,72.2,51.34,48.66,2.68,2.16,3.52,54.5,45.5,23.1,23.75,-0.52
7.56,6.06,5.16,4.56,3.82,3.04,1.54,lfi:aleatoire:33,aleatoire,lfi,horizons,23.3,17.5,5.8,54.4,45.6,8.8,lfi,lfi,true,true,true,72,51.91,48.09,3.82,1.54,7.56,58,42,19.27,22.19,-2.28
4.82,6.48,7.48,8.16,8.94,9.82,11.48,lfi:aleatoire:34,aleatoire,lfi,rn,19.2,15.9,3.3,54.4,45.6,8.8,lfi,lfi,true,true,true,71.3,54.47,45.53,8.94,11.48,4.82,55.3,44.7,20.6,17.7,2.54
13.44,15.54,16.8,17.64,18.66,19.76,21.86,lfi:aleatoire:35,aleatoire,lfi,rn,22.7,12.8,9.9,61.3,38.7,22.6,lfi,lfi,true,true,true,71.3,59.33,40.67,18.66,21.86,13.44,64.6,35.4,20.78,17.12,3.2
6.46,9.18,10.8,11.88,13.18,14.6,17.3,lfi:aleatoire:36,aleatoire,lfi,rn,18.5,14,4.5,54.3,45.7,8.6,lfi,lfi,true,true,true,71.3,56.59,43.41,13.18,17.3,6.46,57.7,42.3,22.7,17.98,4.12
2.92,4.98,6.22,7.04,8.04,9.12,11.18,lfi:aleatoire:37,aleatoire,lfi,rn,18.6,16.7,1.9,49.2,50.8,1.6,rn,lfi,false,true,false,71.5,54.02,45.98,8.04,11.18,2.92,53.2,46.8,21.01,17.4,3.14
7.82,8.06,8.22,8.32,8.44,8.58,8.82,lfi:aleatoire:38,aleatoire,lfi,ps,19.7,14.4,5.3,50.6,49.4,1.2,lfi,lfi,true,true,true,71,54.22,45.78,8.44,8.82,7.82,58.8,41.2,19.4,18.97,0.38
1.62,0.1,0.8,1.4,2.14,2.92,4.42,lfi:aleatoire:39,aleatoire,lfi,nouvelle_energie,20.4,19.3,1.1,44.7,55.3,10.6,nouvelle_energie,lfi,false,true,false,72.3,48.93,51.07,2.14,4.42,1.62,51.8,48.2,20.06,23.03,2.28
5.84,4.14,3.1,2.42,1.6,0.7,1.02,lfi:aleatoire:40,aleatoire,lfi,nouvelle_energie,18.8,14.2,4.6,49,51,2,nouvelle_energie,lfi,false,true,false,72.1,50.8,49.2,1.6,1.02,5.84,57.5,42.5,22.03,25.33,-0.58
9.16,6.8,5.38,4.42,3.3,2.06,0.3,lfi:aleatoire:41,aleatoire,lfi,horizons,20.9,13.9,7,46.2,53.8,7.6,horizons,lfi,false,true,false,71.7,51.65,48.35,3.3,0.3,9.16,60.9,39.1,19.61,24.02,-3
3.12,4.38,5.14,5.64,6.26,6.9,8.16,lfi:aleatoire:42,aleatoire,lfi,rn,17,14.9,2.1,50.5,49.5,1,lfi,lfi,true,true,true,70.9,53.13,46.87,6.26,8.16,3.12,53.6,46.4,20.21,18.11,1.9
7.14,7.34,7.48,7.56,7.66,7.76,7.98,lfi:aleatoire:43,aleatoire,lfi,ps,20,14.9,5.1,53.4,46.6,6.8,lfi,lfi,true,true,true,70.8,53.83,46.17,7.66,7.98,7.14,57.9,42.1,19.15,18.78,0.32
1.02,0.86,0.76,0.68,0.62,0.52,0.36,lfi:aleatoire:44,aleatoire,lfi,ps,16.4,16.1,0.3,54.6,45.4,9.2,lfi,lfi,true,true,true,70.5,50.31,49.69,0.62,0.36,1.02,51.2,48.8,19.12,19.39,-0.26
3.96,2.06,0.92,0.16,0.76,1.74,3.64,lfi:aleatoire:45,aleatoire,lfi,nouvelle_energie,18.5,15.5,3,53.9,46.1,7.8,lfi,lfi,true,true,true,72.1,49.62,50.38,0.76,3.64,3.96,55,45,21.45,25.1,2.88
