finalistLeft,finalistRight,r1Margin,r2Margin,r2ScoreLeft,r2ScoreRight,favoriteAtR1,favoriteWonR2
ecologistes,ps,1.5,0.6,49.7,50.3,ecologistes,false
ecologistes,nouvelle_energie,3.9,1.2,49.4,50.6,ecologistes,false
ecologistes,lfi,4.6,1.4,50.7,49.3,ecologistes,true
ecologistes,nouvelle_energie,7.9,0.6,49.7,50.3,ecologistes,false
ecologistes,ps,4.7,1.2,49.4,50.6,ecologistes,false
ecologistes,horizons,6.1,0.2,49.9,50.1,ecologistes,false
ecologistes,nouvelle_energie,4.7,0.4,49.8,50.2,ecologistes,false
ecologistes,rn,0.6,0,50,50,ecologistes,true
ecologistes,rn,4.8,0.4,50.2,49.8,ecologistes,true
ecologistes,horizons,1.6,0.4,49.8,50.2,ecologistes,false
ecologistes,renaissance,4.7,1.6,49.2,50.8,ecologistes,false
ecologistes,horizons,6.1,1,49.5,50.5,ecologistes,false
ecologistes,horizons,6.8,1.8,49.1,50.9,ecologistes,false
ecologistes,ps,1.2,0.8,50.4,49.6,ecologistes,true
ecologistes,nouvelle_energie,5.3,1.2,49.4,50.6,ecologistes,false
rn,ecologistes,1.4,0.2,50.1,49.9,rn,true
horizons,ecologistes,1,0.6,49.7,50.3,horizons,false
ecologistes,rn,2.3,0.6,49.7,50.3,ecologistes,false
ecologistes,horizons,2.8,0.4,49.8,50.2,ecologistes,false
ecologistes,rn,3.9,1.6,50.8,49.2,ecologistes,true
ecologistes,horizons,4.2,1.4,49.3,50.7,ecologistes,false
ecologistes,ps,2,0.6,50.3,49.7,ecologistes,true
ecologistes,horizons,6.4,0,50,50,ecologistes,true
rn,ecologistes,0.4,0.4,49.8,50.2,rn,false
ecologistes,ps,0.4,0.4,49.8,50.2,ecologistes,false
ecologistes,renaissance,4.8,0.6,49.7,50.3,ecologistes,false
ecologistes,nouvelle_energie,9.5,0.8,50.4,49.6,ecologistes,true
