phase,decisions,meanIntensity,meanAbsPollDelta,rankChangeRate,qualificationFlipRate,rareEventRate,weakCardRate
pre_campaign,12239,3.78,0.985,0.4388,0.2138,0,0.1526
campaign,12327,4.138,0.908,0.2814,0.1373,0.0218,0.0921
official_campaign,12694,4.365,0.975,0.2111,0.0969,0.0193,0.0592
between_rounds,6056,5.039,0.491,0.0769,0.035,0.0038,0.0284
government_epilogue,1652,5.357,1.045,0.0896,0.0569,0,0
