seed,trajectory,valid,firstRoundScore,firstRoundRank,qualified,secondRoundOpponent,won,finalScore,transferability,alliedWithCount,alliedWith,bestRelation,worstRelation,narrativeThreadCount,trajectoryEventsSeen
horizons-cf-17,coalition,true,14.4,1,true,lr,true,88,72,2,"renaissance|lr",100,-14.294677070390826,1,1
horizons-cf-18,continuity,true,14.4,3,false,ps,false,71,35,1,"lr",100,-18.294677070390826,1,0
horizons-cf-18,rupture,true,14.4,3,false,ps,false,71,35,1,"lr",100,-18.294677070390826,1,0
horizons-cf-18,coalition,true,14.4,3,false,ps,false,71,35,1,"lr",100,-18.294677070390826,1,0
horizons-cf-19,continuity,true,20.3,1,true,ps,true,94,69,3,"lr|nouvelle_energie|renaissance",100,-14.294677070390826,1,0
horizons-cf-19,rupture,true,20.3,1,true,ps,true,94,69,3,"lr|nouvelle_energie|renaissance",100,-14.294677070390826,1,0
horizons-cf-19,coalition,true,20.3,1,true,ps,true,94,69,3,"lr|nouvelle_energie|renaissance",100,-14.294677070390826,1,0
horizons-cf-20,continuity,true,16.5,2,true,rn,true,91,65,2,"nouvelle_energie|renaissance",100,-18.294677070390826,2,0
horizons-cf-20,rupture,true,16.5,2,true,rn,true,91,65,2,"nouvelle_energie|renaissance",100,-18.294677070390826,2,0
horizons-cf-20,coalition,true,16.5,2,true,rn,true,91,65,2,"nouvelle_energie|renaissance",100,-18.294677070390826,2,0
horizons-cf-21,continuity,true,15.5,1,true,rn,true,89,63,2,"renaissance|lr",100,-18.294677070390826,1,1
horizons-cf-21,rupture,true,15.3,1,true,rn,true,88,46,2,"renaissance|lr",100,-18.294677070390826,1,1
horizons-cf-21,coalition,true,15.4,1,true,rn,true,89,56,2,"renaissance|lr",100,-17.634681351726023,2,1
horizons-cf-22,continuity,true,17.1,1,true,ps,false,85,57,0,"",100,-18.294677070390826,2,1
horizons-cf-22,rupture,true,18.4,1,true,ps,true,91,54,0,"",100,-17.634681351726023,3,2
horizons-cf-22,coalition,true,16.8,1,true,ps,true,91,63,2,"lr|renaissance",100,-18.294677070390826,2,2
horizons-cf-23,continuity,true,13.9,2,true,rn,true,89,64,1,"renaissance",100,-17.634681351726023,1,0
horizons-cf-23,rupture,true,13.9,2,true,rn,true,89,64,1,"renaissance",100,-17.634681351726023,1,0
horizons-cf-23,coalition,true,13.9,2,true,rn,true,89,64,1,"renaissance",100,-17.634681351726023,1,0
horizons-cf-24,continuity,true,14.9,1,true,ecologistes,true,87,63,1,"lr",100,-14.294677070390826,1,1
horizons-cf-24,rupture,true,15.5,1,true,ecologistes,true,87,53,2,"lr|renaissance",100,-14.294677070390826,1,2
horizons-cf-24,coalition,true,15,1,true,ecologistes,true,88,56,2,"lr|renaissance",100,-14.294677070390826,1,1
horizons-cf-25,continuity,true,20.5,1,true,rn,true,95,69,2,"lr|nouvelle_energie",100,-14.294677070390826,1,1
horizons-cf-25,rupture,true,20.4,1,true,rn,true,94,60,2,"lr|nouvelle_energie",100,-14.294677070390826,1,1
horizons-cf-25,coalition,true,15.6,1,true,renaissance,true,88,76,2,"lr|renaissance",100,-14.294677070390826,1,1
horizons-cf-26,continuity,true,18,1,true,nouvelle_energie,true,91,59,1,"lr",100,-14.294677070390826,2,2
horizons-cf-26,rupture,true,17.7,1,true,nouvelle_energie,false,84,48,1,"nouvelle_energie",100,-14.294677070390826,2,2
horizons-cf-26,coalition,true,18.3,1,true,nouvelle_energie,true,92,71,2,"lr|renaissance",100,-14.294677070390826,2,2
horizons-cf-27,continuity,true,17,1,true,rn,true,92,71,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-27,rupture,true,17,1,true,rn,true,92,71,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-27,coalition,true,17,1,true,rn,true,92,71,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-28,continuity,true,13.5,1,true,lr,false,81,62,2,"lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-28,rupture,true,13.5,1,true,lr,false,81,62,2,"lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-28,coalition,true,13.5,1,true,lr,false,81,62,2,"lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-29,continuity,true,11.5,6,false,rn,false,59,44,1,"renaissance",100,-14.294677070390826,2,0
horizons-cf-29,rupture,true,12.1,4,false,rn,false,63,44,1,"renaissance",100,-14.294677070390826,2,0
horizons-cf-29,coalition,true,12,4,false,rn,false,65,39,1,"renaissance",100,-14.294677070390826,3,0
horizons-cf-30,continuity,true,16.4,1,true,rn,true,91,58,1,"renaissance",100,-18.294677070390826,2,0
horizons-cf-30,rupture,true,16.4,1,true,rn,true,91,58,1,"renaissance",100,-18.294677070390826,2,0
horizons-cf-30,coalition,true,16.4,1,true,rn,true,91,58,1,"renaissance",100,-18.294677070390826,2,0
horizons-cf-31,continuity,true,16.4,1,true,rn,true,90,68,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-31,rupture,true,16.4,1,true,rn,true,90,68,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-31,coalition,true,16.4,1,true,rn,true,90,68,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-32,continuity,true,16.9,1,true,rn,true,87,61,0,"",100,-14.294677070390826,1,0
horizons-cf-32,rupture,true,17.1,1,true,rn,true,87,50,0,"",100,-14.294677070390826,1,1
horizons-cf-32,coalition,true,14.3,3,false,nouvelle_energie,false,68,32,0,"",100,-14.294677070390826,2,0
horizons-cf-33,continuity,true,18.4,1,true,rn,true,93,56,2,"lr|renaissance",100,-17.634681351726023,1,0
horizons-cf-33,rupture,true,18.4,1,true,rn,true,93,56,2,"lr|renaissance",100,-17.634681351726023,1,0
horizons-cf-33,coalition,true,18.4,1,true,rn,true,93,56,2,"lr|renaissance",100,-17.634681351726023,1,0
horizons-cf-34,continuity,true,13.9,1,true,rn,true,87,59,2,"lr|renaissance",100,-18.294677070390826,0,0
horizons-cf-34,rupture,true,13.9,1,true,rn,true,87,59,2,"lr|renaissance",100,-18.294677070390826,0,0
horizons-cf-34,coalition,true,13.9,1,true,rn,true,87,59,2,"lr|renaissance",100,-18.294677070390826,0,0
horizons-cf-35,continuity,true,18.7,1,true,ps,false,88,56,1,"lr",100,-14.294677070390826,2,1
horizons-cf-35,rupture,true,18.6,1,true,ps,false,86,54,0,"",100,-14.294677070390826,2,1
horizons-cf-35,coalition,true,18.5,1,true,ps,false,88,64,2,"renaissance|lr",100,-14.294677070390826,2,1
horizons-cf-36,continuity,true,18,1,true,lr,true,91,67,1,"renaissance",100,-14.294677070390826,2,0
horizons-cf-36,rupture,true,18,1,true,lr,true,91,67,1,"renaissance",100,-14.294677070390826,2,0
horizons-cf-36,coalition,true,18,1,true,lr,true,91,67,1,"renaissance",100,-14.294677070390826,2,0
horizons-cf-37,continuity,true,15.9,1,true,ecologistes,true,86,67,1,"renaissance",100,-18.294677070390826,1,0
