seed,trajectory,valid,firstRoundScore,firstRoundRank,qualified,secondRoundOpponent,won,finalScore,transferability,alliedWithCount,alliedWith,bestRelation,worstRelation,narrativeThreadCount,trajectoryEventsSeen
horizons-cf-17,coalition,true,14.7,1,true,lr,true,89,66,2,"renaissance|lr",100,-18.294677070390826,0,0
horizons-cf-18,continuity,true,12.7,4,false,ps,false,63,36,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-18,rupture,true,12.7,4,false,ps,false,63,36,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-18,coalition,true,12.7,4,false,ps,false,63,36,1,"renaissance",100,-18.294677070390826,0,0
horizons-cf-19,continuity,true,20.1,1,true,ps,true,95,62,3,"nouvelle_energie|lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-19,rupture,true,20.1,1,true,ps,true,95,62,3,"nouvelle_energie|lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-19,coalition,true,20.1,1,true,ps,true,95,62,3,"nouvelle_energie|lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-20,continuity,true,14.8,1,true,rn,true,90,52,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-20,rupture,true,14.8,1,true,rn,true,90,52,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-20,coalition,true,14.8,1,true,rn,true,90,52,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-21,continuity,true,15.8,1,true,rn,true,89,56,1,"lr",100,-17.634681351726023,2,1
horizons-cf-21,rupture,true,16.1,1,true,rn,true,88,44,0,"",100,-17.634681351726023,2,1
horizons-cf-21,coalition,true,16,1,true,rn,true,90,49,2,"lr|renaissance",100,-18.294677070390826,2,1
horizons-cf-22,continuity,true,17.7,1,true,ps,true,93,55,1,"renaissance",100,-18.294677070390826,1,0
horizons-cf-22,rupture,true,17.7,1,true,ps,true,93,55,1,"renaissance",100,-18.294677070390826,1,0
horizons-cf-22,coalition,true,17.7,1,true,ps,true,93,55,1,"renaissance",100,-18.294677070390826,1,0
horizons-cf-23,continuity,true,12.6,4,false,rn,false,65,29,0,"",100,-17.634681351726023,1,0
horizons-cf-23,rupture,true,12.6,4,false,rn,false,65,29,0,"",100,-17.634681351726023,1,0
horizons-cf-23,coalition,true,12.6,4,false,rn,false,65,29,0,"",100,-17.634681351726023,1,0
horizons-cf-24,continuity,true,16.6,1,true,ecologistes,true,92,59,2,"lr|renaissance",100,-18.294677070390826,1,0
horizons-cf-24,rupture,true,16.6,1,true,ecologistes,true,92,59,2,"lr|renaissance",100,-18.294677070390826,1,0
horizons-cf-24,coalition,true,16.6,1,true,ecologistes,true,92,59,2,"lr|renaissance",100,-18.294677070390826,1,0
horizons-cf-25,continuity,true,18.4,1,true,rn,true,94,73,2,"lr|renaissance",100,-14.294677070390826,3,1
horizons-cf-25,rupture,true,18.9,1,true,rn,true,93,69,1,"renaissance",100,-14.294677070390826,3,1
horizons-cf-25,coalition,true,16.1,1,true,renaissance,true,89,69,2,"lr|renaissance",100,-14.294677070390826,3,1
horizons-cf-26,continuity,true,18.3,1,true,nouvelle_energie,true,92,65,1,"lr",100,-14.294677070390826,1,2
horizons-cf-26,rupture,true,18.5,1,true,nouvelle_energie,true,92,68,1,"nouvelle_energie",100,-14.294677070390826,1,2
horizons-cf-26,coalition,true,18.1,1,true,nouvelle_energie,true,92,72,2,"lr|renaissance",100,-14.294677070390826,1,2
horizons-cf-27,continuity,true,16.5,1,true,rn,true,91,71,1,"renaissance",100,-17.634681351726023,0,0
horizons-cf-27,rupture,true,16.5,1,true,rn,true,91,71,1,"renaissance",100,-17.634681351726023,0,0
horizons-cf-27,coalition,true,16.5,1,true,rn,true,91,71,1,"renaissance",100,-17.634681351726023,0,0
horizons-cf-28,continuity,true,13.2,1,true,lr,false,81,62,2,"lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-28,rupture,true,13.2,1,true,lr,false,81,62,2,"lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-28,coalition,true,13.2,1,true,lr,false,81,62,2,"lr|renaissance",100,-14.294677070390826,1,0
horizons-cf-29,continuity,true,12,4,false,rn,false,65,37,1,"renaissance",100,-14.294677070390826,2,0
horizons-cf-29,rupture,true,12,4,false,rn,false,65,37,1,"renaissance",100,-14.294677070390826,2,0
horizons-cf-29,coalition,true,12,4,false,rn,false,65,37,1,"renaissance",100,-14.294677070390826,2,0
horizons-cf-30,continuity,true,16.4,1,true,rn,true,92,62,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-30,rupture,true,16.4,1,true,rn,true,92,62,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-30,coalition,true,16.4,1,true,rn,true,92,62,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-31,continuity,true,16.4,1,true,rn,true,90,66,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-31,rupture,true,16.4,1,true,rn,true,90,66,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-31,coalition,true,16.4,1,true,rn,true,90,66,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-32,continuity,true,16.2,2,true,rn,true,92,65,3,"lr|nouvelle_energie|renaissance",100,-18.294677070390826,1,0
horizons-cf-32,rupture,true,16.2,2,true,rn,true,92,65,3,"lr|nouvelle_energie|renaissance",100,-18.294677070390826,1,0
horizons-cf-32,coalition,true,16.2,2,true,rn,true,92,65,3,"lr|nouvelle_energie|renaissance",100,-18.294677070390826,1,0
horizons-cf-33,continuity,true,18.9,1,true,rn,true,93,54,1,"renaissance",100,-14.294677070390826,0,0
horizons-cf-33,rupture,true,18.9,1,true,rn,true,93,54,1,"renaissance",100,-14.294677070390826,0,0
horizons-cf-33,coalition,true,18.9,1,true,rn,true,93,54,1,"renaissance",100,-14.294677070390826,0,0
horizons-cf-34,continuity,true,12.9,3,false,rn,false,62,34,1,"lr",100,-18.294677070390826,1,0
horizons-cf-34,rupture,true,12.9,3,false,rn,false,62,34,1,"lr",100,-18.294677070390826,1,0
horizons-cf-34,coalition,true,12.9,3,false,rn,false,62,34,1,"lr",100,-18.294677070390826,1,0
horizons-cf-35,continuity,true,15.3,1,true,ps,false,83,60,1,"lr",100,-14.294677070390826,1,1
horizons-cf-35,rupture,true,15.4,1,true,ps,false,82,68,0,"",100,-14.294677070390826,1,1
horizons-cf-35,coalition,true,15.2,1,true,ps,true,91,74,2,"lr|renaissance",100,-17.634681351726023,1,1
horizons-cf-36,continuity,true,18.1,1,true,lr,true,93,73,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-36,rupture,true,18.1,1,true,lr,true,93,73,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-36,coalition,true,18.1,1,true,lr,true,93,73,1,"renaissance",100,-14.294677070390826,1,0
horizons-cf-37,continuity,true,16.4,1,true,ecologistes,true,88,56,2,"lr|renaissance",100,-14.294677070390826,0,0
horizons-cf-37,rupture,true,16.4,1,true,ecologistes,true,88,56,2,"lr|renaissance",100,-14.294677070390826,0,0
horizons-cf-37,coalition,true,16.4,1,true,ecologistes,true,88,56,2,"lr|renaissance",100,-14.294677070390826,0,0
horizons-cf-38,continuity,true,16.1,1,true,rn,true,92,55,2,"lr|renaissance",100,-18.294677070390826,1,0
horizons-cf-38,rupture,true,16.1,1,true,rn,true,92,55,2,"lr|renaissance",100,-18.294677070390826,1,0
horizons-cf-38,coalition,true,16.1,1,true,rn,true,92,55,2,"lr|renaissance",100,-18.294677070390826,1,0
horizons-cf-39,continuity,true,19.2,1,true,ps,true,95,65,1,"renaissance",100,-14.294677070390826,0,0
