campaignDecile,n,meanIntensity,meanAbsPollDelta,rankChangeRate
0,4066,3.621,0.848,0.4606
1,4348,3.799,1.27,0.4968
2,4860,3.95,1.026,0.386
3,4348,4.178,0.976,0.3043
4,4860,4.182,0.741,0.2261
5,4348,4.306,1.163,0.2415
6,4860,4.268,1.152,0.2296
7,4348,4.353,0.275,0.0828
8,4860,5.015,0.529,0.1506
9,5686,4.901,0.844,0.1236
