pairKey,playerPartyId,agent,withdrawnPartyId,withdrawnPartyPollingAtFork,maintainR1Leader,withdrawR1Leader,leaderChanged,maintainQualified,withdrawQualified,qualifiedSetChanged,maintainPlayerR1Score,withdrawPlayerR1Score,playerScoreDelta,maintainPlayerWon,withdrawPlayerWon,playerOutcomeChanged
ps:prudent:371,ps,prudent,reconquete,3.64,ps,ps,false,"[""ps"",""rn""]","[""ps"",""rn""]",false,23.1,25.7,2.6,true,true,false
ecologistes:prudent:372,ecologistes,prudent,reconquete,3.1,ecologistes,ps,true,"[""ecologistes"",""ps""]","[""ps"",""ecologistes""]",false,21.1,15.6,-5.5,true,false,true
renaissance:prudent:373,renaissance,prudent,ecologistes,8.29,horizons,renaissance,true,"[""horizons"",""renaissance""]","[""renaissance"",""horizons""]",false,17,20.8,3.8,false,true,true
horizons:prudent:374,horizons,prudent,reconquete,3.93,horizons,horizons,false,"[""horizons"",""rn""]","[""horizons"",""ps""]",true,30.8,26.7,-4.1,true,true,false
lr:prudent:375,lr,prudent,reconquete,3.19,lr,lr,false,"[""lr"",""horizons""]","[""lr"",""rn""]",true,15.8,18.5,2.7,false,true,true
rn:prudent:376,rn,prudent,reconquete,3.59,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""ps""]",true,18.4,21.4,3,false,true,true
reconquete:prudent:377,reconquete,prudent,ecologistes,7.71,ps,rn,true,"[""ps"",""lfi""]","[""rn"",""ps""]",true,10.8,13.8,3,false,false,false
nouvelle_energie:prudent:378,nouvelle_energie,prudent,ecologistes,8.69,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""lfi""]","[""nouvelle_energie"",""rn""]",true,22.4,24.6,2.2,true,true,false
lfi:risque:379,lfi,risque,reconquete,3.64,lfi,lfi,false,"[""lfi"",""ps""]","[""lfi"",""horizons""]",true,24.3,24.2,-0.1,true,true,false
ps:risque:380,ps,risque,reconquete,3.14,ps,ps,false,"[""ps"",""horizons""]","[""ps"",""rn""]",true,24.3,27.2,2.9,true,true,false
ecologistes:risque:381,ecologistes,risque,reconquete,3.18,ecologistes,ecologistes,false,"[""ecologistes"",""horizons""]","[""ecologistes"",""rn""]",true,19.9,22.3,2.4,false,true,true
renaissance:risque:382,renaissance,risque,reconquete,3.28,renaissance,renaissance,false,"[""renaissance"",""rn""]","[""renaissance"",""ps""]",true,19.7,20.2,0.5,true,true,false
horizons:risque:383,horizons,risque,reconquete,3.5,horizons,horizons,false,"[""horizons"",""rn""]","[""horizons"",""nouvelle_energie""]",true,22.6,25.8,3.2,true,false,true
lr:risque:384,lr,risque,reconquete,3.55,lr,lr,false,"[""lr"",""horizons""]","[""lr"",""horizons""]",false,20.6,25.1,4.5,false,true,true
rn:risque:385,rn,risque,reconquete,3.74,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""horizons""]",false,23.9,23.7,-0.2,true,false,true
reconquete:risque:386,reconquete,risque,ecologistes,8.38,ps,rn,true,"[""ps"",""rn""]","[""rn"",""horizons""]",true,11.7,9.8,-1.9,false,false,false
nouvelle_energie:risque:387,nouvelle_energie,risque,reconquete,3.52,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""ps""]","[""nouvelle_energie"",""horizons""]",true,23.3,22.7,-0.6,true,true,false
lfi:ideologiquement_coherent:388,lfi,ideologiquement_coherent,reconquete,3.58,lfi,lfi,false,"[""lfi"",""rn""]","[""lfi"",""horizons""]",true,27.3,24.3,-3,true,true,false
ps:ideologiquement_coherent:389,ps,ideologiquement_coherent,reconquete,3.51,ps,ps,false,"[""ps"",""rn""]","[""ps"",""rn""]",false,27.1,27.2,0.1,true,true,false
ecologistes:ideologiquement_coherent:390,ecologistes,ideologiquement_coherent,reconquete,3.82,ecologistes,ecologistes,false,"[""ecologistes"",""horizons""]","[""ecologistes"",""rn""]",true,19.6,23.6,4,true,true,false
renaissance:ideologiquement_coherent:391,renaissance,ideologiquement_coherent,reconquete,3.56,renaissance,renaissance,false,"[""renaissance"",""horizons""]","[""renaissance"",""horizons""]",false,17.4,20.2,2.8,false,true,true
horizons:ideologiquement_coherent:392,horizons,ideologiquement_coherent,reconquete,3.09,horizons,horizons,false,"[""horizons"",""rn""]","[""horizons"",""nouvelle_energie""]",true,25.5,26,0.5,true,true,false
lr:ideologiquement_coherent:393,lr,ideologiquement_coherent,reconquete,3.55,lr,lr,false,"[""lr"",""horizons""]","[""lr"",""horizons""]",false,17.4,17.5,0.1,true,true,false
rn:ideologiquement_coherent:394,rn,ideologiquement_coherent,reconquete,3.3,rn,rn,false,"[""rn"",""ps""]","[""rn"",""horizons""]",true,22,24.3,2.3,true,true,false
reconquete:ideologiquement_coherent:395,reconquete,ideologiquement_coherent,ecologistes,8.71,ps,horizons,true,"[""ps"",""lfi""]","[""horizons"",""rn""]",true,10.9,12.2,1.3,false,false,false
nouvelle_energie:ideologiquement_coherent:396,nouvelle_energie,ideologiquement_coherent,reconquete,3.65,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""rn""]","[""nouvelle_energie"",""rn""]",false,19.9,21.6,1.7,true,true,false
lfi:opportuniste_electoral:397,lfi,opportuniste_electoral,reconquete,3.51,lfi,lfi,false,"[""lfi"",""horizons""]","[""lfi"",""ps""]",true,17.9,18.6,0.7,false,true,true
ps:opportuniste_electoral:398,ps,opportuniste_electoral,reconquete,2.87,horizons,ps,true,"[""horizons"",""rn""]","[""ps"",""rn""]",true,13.7,17.9,4.2,false,true,true
ecologistes:opportuniste_electoral:399,ecologistes,opportuniste_electoral,reconquete,3.77,horizons,ecologistes,true,"[""horizons"",""lfi""]","[""ecologistes"",""horizons""]",true,12.3,19.3,7,false,false,false
renaissance:opportuniste_electoral:400,renaissance,opportuniste_electoral,reconquete,3.67,renaissance,horizons,true,"[""renaissance"",""rn""]","[""horizons"",""renaissance""]",true,16.8,15.6,-1.2,true,true,false
horizons:opportuniste_electoral:401,horizons,opportuniste_electoral,reconquete,3.84,horizons,horizons,false,"[""horizons"",""ps""]","[""horizons"",""ps""]",false,25.3,25.6,0.3,true,true,false
lr:opportuniste_electoral:402,lr,opportuniste_electoral,reconquete,3.75,lr,horizons,true,"[""lr"",""ps""]","[""horizons"",""rn""]",true,18.4,14.5,-3.9,true,false,true
rn:opportuniste_electoral:403,rn,opportuniste_electoral,reconquete,3.7,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""nouvelle_energie""]",true,27.5,27,-0.5,true,false,true
reconquete:opportuniste_electoral:404,reconquete,opportuniste_electoral,ecologistes,8.23,horizons,rn,true,"[""horizons"",""lfi""]","[""rn"",""horizons""]",true,8,9.6,1.6,false,false,false
nouvelle_energie:opportuniste_electoral:405,nouvelle_energie,opportuniste_electoral,reconquete,2.89,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""horizons""]","[""nouvelle_energie"",""rn""]",true,18.2,17.8,-0.4,true,true,false
lfi:parti_dabord:406,lfi,parti_dabord,reconquete,3.56,horizons,lfi,true,"[""horizons"",""lfi""]","[""lfi"",""rn""]",true,14.2,17.3,3.1,false,true,true
ps:parti_dabord:407,ps,parti_dabord,reconquete,3.62,ps,ps,false,"[""ps"",""horizons""]","[""ps"",""rn""]",true,19.8,22.1,2.3,true,true,false
ecologistes:parti_dabord:408,ecologistes,parti_dabord,reconquete,3.05,ecologistes,ecologistes,false,"[""ecologistes"",""horizons""]","[""ecologistes"",""rn""]",true,17.6,21.3,3.7,true,true,false
renaissance:parti_dabord:409,renaissance,parti_dabord,reconquete,3.58,renaissance,renaissance,false,"[""renaissance"",""horizons""]","[""renaissance"",""horizons""]",false,22.5,18.7,-3.8,true,false,true
horizons:parti_dabord:410,horizons,parti_dabord,ecologistes,9.03,horizons,horizons,false,"[""horizons"",""ps""]","[""horizons"",""rn""]",true,28.8,29.1,0.3,true,true,false
lr:parti_dabord:411,lr,parti_dabord,reconquete,3.92,lr,lr,false,"[""lr"",""ps""]","[""lr"",""horizons""]",true,14.7,21,6.3,false,false,false
rn:parti_dabord:412,rn,parti_dabord,reconquete,3.41,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""horizons""]",false,23.1,19.9,-3.2,false,false,false
reconquete:parti_dabord:413,reconquete,parti_dabord,ecologistes,8.02,horizons,ps,true,"[""horizons"",""ps""]","[""ps"",""rn""]",true,6.4,11.6,5.2,false,false,false
nouvelle_energie:parti_dabord:414,nouvelle_energie,parti_dabord,reconquete,3.75,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""rn""]","[""nouvelle_energie"",""rn""]",false,16.8,18.6,1.8,true,true,false
lfi:mediatique:415,lfi,mediatique,reconquete,3.64,rn,horizons,true,"[""rn"",""horizons""]","[""horizons"",""lfi""]",true,12.9,14.8,1.9,false,false,false
ps:mediatique:416,ps,mediatique,reconquete,3.85,rn,ps,true,"[""rn"",""horizons""]","[""ps"",""lr""]",true,14.1,16.2,2.1,false,true,true
ecologistes:mediatique:417,ecologistes,mediatique,reconquete,4.26,horizons,ecologistes,true,"[""horizons"",""rn""]","[""ecologistes"",""horizons""]",true,13.3,18,4.7,false,true,true
renaissance:mediatique:418,renaissance,mediatique,reconquete,3.76,horizons,renaissance,true,"[""horizons"",""renaissance""]","[""renaissance"",""rn""]",true,17.8,18.5,0.7,true,true,false
horizons:mediatique:419,horizons,mediatique,reconquete,3.73,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""rn""]","[""nouvelle_energie"",""rn""]",false,12.1,14.3,2.2,false,false,false
lr:mediatique:420,lr,mediatique,reconquete,4.11,horizons,horizons,false,"[""horizons"",""ps""]","[""horizons"",""rn""]",true,8.5,14,5.5,false,false,false
rn:mediatique:421,rn,mediatique,reconquete,3.78,horizons,rn,true,"[""horizons"",""rn""]","[""rn"",""horizons""]",false,15.2,18.7,3.5,false,true,true
reconquete:mediatique:422,reconquete,mediatique,ecologistes,9.01,ps,ps,false,"[""ps"",""lr""]","[""ps"",""rn""]",true,0.1,7.5,7.4,false,false,false
nouvelle_energie:mediatique:423,nouvelle_energie,mediatique,reconquete,3.74,horizons,horizons,false,"[""horizons"",""lr""]","[""horizons"",""rn""]",true,12.7,13.5,0.8,false,false,false
lfi:contrarien:424,lfi,contrarien,reconquete,3.52,lfi,horizons,true,"[""lfi"",""lr""]","[""horizons"",""lfi""]",true,15.3,16.8,1.5,false,false,false
ps:contrarien:425,ps,contrarien,reconquete,3.66,horizons,horizons,false,"[""horizons"",""lr""]","[""horizons"",""lr""]",false,13.4,10,-3.4,false,false,false
ecologistes:contrarien:426,ecologistes,contrarien,reconquete,3.39,nouvelle_energie,horizons,true,"[""nouvelle_energie"",""lr""]","[""horizons"",""ps""]",true,7.7,8.6,0.9,false,false,false
renaissance:contrarien:427,renaissance,contrarien,reconquete,3.32,rn,renaissance,true,"[""rn"",""nouvelle_energie""]","[""renaissance"",""lfi""]",true,12.2,17.4,5.2,false,false,false
horizons:contrarien:428,horizons,contrarien,reconquete,3.29,rn,horizons,true,"[""rn"",""horizons""]","[""horizons"",""rn""]",false,15.1,19.9,4.8,true,true,false
lr:contrarien:429,lr,contrarien,reconquete,3.81,lr,ps,true,"[""lr"",""horizons""]","[""ps"",""rn""]",true,15.1,13.2,-1.9,false,false,false
rn:contrarien:430,rn,contrarien,reconquete,4.38,horizons,horizons,false,"[""horizons"",""ps""]","[""horizons"",""nouvelle_energie""]",true,13,12.3,-0.7,false,false,false
reconquete:contrarien:431,reconquete,contrarien,lr,10.34,horizons,horizons,false,"[""horizons"",""rn""]","[""horizons"",""rn""]",false,2.7,6,3.3,false,false,false
nouvelle_energie:contrarien:432,nouvelle_energie,contrarien,reconquete,3.85,rn,ps,true,"[""rn"",""horizons""]","[""ps"",""rn""]",true,14,10.8,-3.2,false,false,false
lfi:aleatoire:433,lfi,aleatoire,reconquete,3.53,rn,horizons,true,"[""rn"",""nouvelle_energie""]","[""horizons"",""ps""]",true,9.2,11.1,1.9,false,false,false
ps:aleatoire:434,ps,aleatoire,reconquete,3.75,ps,ps,false,"[""ps"",""horizons""]","[""ps"",""horizons""]",false,21.3,17.3,-4,true,true,false
ecologistes:aleatoire:435,ecologistes,aleatoire,reconquete,3.52,ecologistes,horizons,true,"[""ecologistes"",""horizons""]","[""horizons"",""nouvelle_energie""]",true,17.1,10.9,-6.2,false,false,false
renaissance:aleatoire:436,renaissance,aleatoire,reconquete,3.85,renaissance,rn,true,"[""renaissance"",""horizons""]","[""rn"",""renaissance""]",true,15.9,15.4,-0.5,true,false,true
horizons:aleatoire:437,horizons,aleatoire,reconquete,3.43,horizons,horizons,false,"[""horizons"",""rn""]","[""horizons"",""ps""]",true,20.4,19.8,-0.6,true,true,false
lr:aleatoire:438,lr,aleatoire,reconquete,3.86,lr,horizons,true,"[""lr"",""horizons""]","[""horizons"",""lr""]",false,20,15,-5,true,false,true
rn:aleatoire:439,rn,aleatoire,reconquete,3.54,rn,rn,false,"[""rn"",""horizons""]","[""rn"",""horizons""]",false,24.6,17.6,-7,true,false,true
reconquete:aleatoire:440,reconquete,aleatoire,ecologistes,7.83,rn,horizons,true,"[""rn"",""renaissance""]","[""horizons"",""rn""]",true,8.1,9.4,1.3,false,false,false
nouvelle_energie:aleatoire:441,nouvelle_energie,aleatoire,reconquete,3.25,nouvelle_energie,nouvelle_energie,false,"[""nouvelle_energie"",""horizons""]","[""nouvelle_energie"",""horizons""]",false,17.4,19.2,1.8,false,false,false
lfi:prudent:442,lfi,prudent,reconquete,3.47,lfi,lfi,false,"[""lfi"",""rn""]","[""lfi"",""horizons""]",true,24.7,20.6,-4.1,true,false,true
