pairId,withdrawnPartyId,partnerId,withdrawScore,maintainScore,scoreDelta,withdrawQualified,maintainQualified,qualificationChanged,withdrawWon,maintainWon,victoryChanged,finalistsChanged
cfA-reconquete-risque-1609,ecologistes,ps,50,60,-10,false,false,false,false,false,false,true
cfA-lfi-ideologiquement_coherent-1611,reconquete,rn,92,96,-4,true,true,false,true,true,false,true
cfA-renaissance-ideologiquement_coherent-1614,reconquete,rn,88,89,-1,true,true,false,true,true,false,false
cfA-lr-ideologiquement_coherent-1616,reconquete,rn,84,93,-9,true,true,false,false,true,true,true
cfA-ps-opportuniste_electoral-1621,reconquete,rn,96,96,0,true,true,false,true,true,false,false
cfA-renaissance-opportuniste_electoral-1623,ecologistes,ps,86,82,4,true,true,false,true,true,false,false
cfA-lr-opportuniste_electoral-1625,ecologistes,ps,76,79,-3,true,true,false,false,true,true,true
cfA-ps-parti_dabord-1630,reconquete,rn,94,97,-3,true,true,false,true,true,false,false
cfA-renaissance-parti_dabord-1632,reconquete,rn,73,73,0,true,true,false,false,false,false,true
cfA-lr-parti_dabord-1634,reconquete,rn,95,97,-2,true,true,false,true,true,false,false
cfA-reconquete-parti_dabord-1636,ecologistes,ps,59,53,6,false,false,false,false,false,false,true
cfA-ps-mediatique-1639,reconquete,rn,79,84,-5,true,true,false,false,false,false,true
cfA-ecologistes-mediatique-1640,reconquete,rn,82,51,31,true,false,true,false,false,false,true
cfA-horizons-mediatique-1642,ecologistes,ps,90,84,6,true,true,false,true,true,false,false
cfA-nouvelle_energie-mediatique-1646,reconquete,rn,85,96,-11,true,true,false,false,true,true,false
cfA-renaissance-contrarien-1650,reconquete,rn,71,47,24,true,false,true,true,false,true,true
cfA-horizons-contrarien-1651,ecologistes,ps,82,81,1,true,true,false,true,true,false,true
cfA-lfi-prudent-1665,reconquete,rn,78,90,-12,true,true,false,false,true,true,true
cfA-ps-prudent-1666,reconquete,rn,90,92,-2,true,true,false,true,true,false,true
cfA-ecologistes-prudent-1667,reconquete,rn,94,93,1,true,true,false,true,true,false,false
cfA-lr-prudent-1670,reconquete,rn,85,93,-8,true,true,false,true,true,false,true
cfA-nouvelle_energie-prudent-1673,ecologistes,ps,98,91,7,true,true,false,true,true,false,true
cfA-lfi-risque-1674,reconquete,rn,80,87,-7,true,true,false,false,true,true,true
cfA-renaissance-risque-1677,reconquete,rn,88,84,4,true,true,false,true,false,true,false
cfA-lr-opportuniste_electoral-1697,reconquete,rn,87,51,36,true,false,true,true,false,true,true
cfA-reconquete-opportuniste_electoral-1699,ecologistes,ps,47,47,0,false,false,false,false,false,false,true
cfA-horizons-parti_dabord-1705,reconquete,rn,93,87,6,true,true,false,true,true,false,false
cfA-nouvelle_energie-parti_dabord-1709,reconquete,rn,94,98,-4,true,true,false,true,true,false,false
cfA-ps-mediatique-1711,reconquete,rn,93,80,13,true,true,false,true,true,false,false
cfA-renaissance-mediatique-1713,reconquete,rn,85,80,5,true,true,false,true,true,false,false
cfA-lr-mediatique-1715,reconquete,rn,83,74,9,true,true,false,true,false,true,true
cfA-nouvelle_energie-mediatique-1718,reconquete,rn,84,85,-1,true,true,false,true,true,false,false
cfA-horizons-contrarien-1723,reconquete,rn,70,47,23,true,false,true,true,false,true,true
cfA-lfi-aleatoire-1728,reconquete,rn,94,81,13,true,true,false,true,false,true,true
cfA-ps-aleatoire-1729,reconquete,rn,93,90,3,true,true,false,true,true,false,false
cfA-ecologistes-aleatoire-1730,reconquete,rn,96,99,-3,true,true,false,true,true,false,false
cfA-lr-aleatoire-1733,ecologistes,ps,89,82,7,true,true,false,true,true,false,false
cfA-nouvelle_energie-aleatoire-1736,reconquete,rn,97,92,5,true,true,false,true,true,false,true
cfA-lfi-prudent-1737,reconquete,rn,93,95,-2,true,true,false,true,true,false,false
cfA-renaissance-prudent-1740,reconquete,rn,85,80,5,true,true,false,true,true,false,false
cfA-lfi-ideologiquement_coherent-1755,reconquete,rn,100,94,6,true,true,false,true,true,false,true
cfA-horizons-ideologiquement_coherent-1759,ecologistes,ps,96,95,1,true,true,false,true,true,false,true
cfA-rn-ideologiquement_coherent-1761,ecologistes,ps,92,88,4,true,true,false,true,true,false,true
cfA-nouvelle_energie-ideologiquement_coherent-1763,reconquete,rn,91,100,-9,true,true,false,true,true,false,false
cfA-lfi-opportuniste_electoral-1764,reconquete,rn,84,86,-2,true,true,false,true,true,false,true
cfA-renaissance-opportuniste_electoral-1767,reconquete,rn,77,88,-11,true,true,false,false,true,true,false
cfA-lr-opportuniste_electoral-1769,reconquete,rn,87,79,8,true,true,false,true,false,true,true
cfA-nouvelle_energie-opportuniste_electoral-1772,reconquete,rn,97,93,4,true,true,false,true,true,false,false
cfA-lr-parti_dabord-1778,ecologistes,ps,81,87,-6,true,true,false,false,true,true,true
cfA-nouvelle_energie-parti_dabord-1781,reconquete,rn,65,87,-22,false,true,true,false,true,true,true
cfA-ps-mediatique-1783,reconquete,rn,96,96,0,true,true,false,true,true,false,true
cfA-lr-mediatique-1787,reconquete,rn,81,92,-11,true,true,false,true,true,false,false
cfA-ecologistes-prudent-1811,reconquete,rn,93,95,-2,true,true,false,true,true,false,true
cfA-renaissance-prudent-1812,reconquete,rn,93,87,6,true,true,false,true,true,false,false
cfA-reconquete-prudent-1816,ecologistes,ps,63,54,9,false,false,false,false,false,false,true
cfA-nouvelle_energie-prudent-1817,reconquete,rn,93,92,1,true,true,false,true,true,false,true
cfA-ecologistes-risque-1820,reconquete,rn,94,89,5,true,true,false,true,false,true,false
cfA-lfi-ideologiquement_coherent-1827,reconquete,rn,93,92,1,true,true,false,true,true,false,true
cfA-ecologistes-ideologiquement_coherent-1829,reconquete,rn,97,88,9,true,true,false,true,false,true,true
cfA-renaissance-ideologiquement_coherent-1830,reconquete,rn,81,80,1,true,true,false,true,false,true,true
cfA-nouvelle_energie-ideologiquement_coherent-1835,ecologistes,ps,93,95,-2,true,true,false,true,true,false,false
cfA-lfi-opportuniste_electoral-1836,reconquete,rn,68,86,-18,true,true,false,false,true,true,false
cfA-renaissance-opportuniste_electoral-1839,reconquete,rn,82,78,4,true,true,false,true,true,false,true
cfA-nouvelle_energie-opportuniste_electoral-1844,reconquete,rn,92,87,5,true,true,false,true,true,false,false
cfA-lfi-parti_dabord-1845,reconquete,rn,78,86,-8,true,true,false,false,false,false,true
cfA-ecologistes-parti_dabord-1847,reconquete,rn,93,91,2,true,true,false,true,true,false,true
cfA-nouvelle_energie-parti_dabord-1853,reconquete,rn,92,87,5,true,true,false,true,true,false,false
cfA-lr-mediatique-1859,reconquete,rn,79,84,-5,true,true,false,false,true,true,true
cfA-lfi-aleatoire-1872,reconquete,rn,93,88,5,true,true,false,true,true,false,false
