sourcePartyId,transfers,avgAbstentionRate
lfi,1144,0.4063424510267209
ecologistes,1300,0.37788779112616727
renaissance,1197,0.32498378590856053
horizons,935,0.33994391654612754
lr,1212,0.3170381116516267
reconquete,1421,0.3429036846904869
nouvelle_energie,1157,0.33668039139060185
rn,697,0.4015851723885233
ps,996,0.37184618070888814
lr_dissidence_21,1,0.3734291016103894
reconquete_dissidence_20,5,0.32651903303163576
reconquete_dissidence_16,3,0.37688534803648527
reconquete_dissidence_15,4,0.3758891689817465
reconquete_dissidence_18,6,0.30353396446221975
reconquete_dissidence_21,6,0.3192771272575669
reconquete_dissidence_17,5,0.36240545905016713
reconquete_dissidence_22,7,0.3457405075806955
reconquete_dissidence_19,5,0.4200255221166282
reconquete_dissidence_23,9,0.35827346655881115
rn_dissidence_23,2,0.24514438229134622
rn_dissidence_15,1,0.246758479083072
rn_dissidence_17,1,0.24289541193042552
